latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
1.6,51112,,,LKH,,
9.0,51047,"[(1400, 2400, 1200, 2200)]",244.0,fast_thinking,51112.0,SubTSP‑51112
13.87,51006,"[(2400, 3600, 1800, 2800)]",133.0,fast_thinking,51112.0,SubTSP‑51047
61.47,51006,"[(500, 1800, 1200, 2400), (2200, 3600, 2400, 3200)]",376.0,fast_thinking,51006.0,SubTSP‑51006
64.14,50964,"[(200, 1400, 1800, 2800)]",146.0,reasoning,51006.0,SubTSP‑51006
78.26,50964,"[(1800, 2800, 1500, 2500), (3000, 4200, 1200, 2200)]",303.0,fast_thinking,51006.0,SubTSP‑50964
103.31,50964,"[(1400, 2800, 1800, 3000), (2800, 4100, 2200, 3200)]",424.0,fast_thinking,50964.0,SubTSP‑50964
103.72,50962,"[(100, 1200, 2400, 3300)]",68.0,reasoning,50964.0,SubTSP‑50964
108.89,50962,"[(500, 1600, 800, 1800), (2800, 4100, 700, 1600)]",289.0,fast_thinking,50964.0,SubTSP‑50962
133.85,50962,"[(1200, 2400, 1000, 2000), (2200, 3600, 1200, 2400)]",489.0,fast_thinking,50962.0,SubTSP‑50962
146.4,50960,"[(1000, 2200, 1200, 2200)]",284.0,fast_thinking,50962.0,SubTSP‑50962
159.16,50960,"[(1200, 2600, 1200, 2000), (3000, 4200, 2000, 3100)]",308.0,fast_thinking,50962.0,SubTSP‑50960
164.1,50960,"[(1000, 2400, 1600, 2800), (2400, 3800, 500, 1400)]",472.0,fast_thinking,50960.0,SubTSP‑50960
167.41,50960,"[(800, 2000, 1500, 2400), (2200, 3600, 1500, 2600)]",439.0,fast_thinking,50960.0,SubTSP‑50960
169.92,50960,"[(0, 1400, 1000, 2200), (2600, 3800, 0, 900)]",223.0,reasoning,50960.0,SubTSP‑50960
172.92,50960,"[(600, 1800, 1800, 2800), (2600, 4100, 1000, 2200)]",355.0,fast_thinking,50960.0,SubTSP‑50960
187.69,50960,"[(1400, 2600, 1200, 2200), (2200, 3600, 2000, 3200)]",449.0,fast_thinking,50960.0,SubTSP‑50960
253.32,50960,"[(800, 2400, 1200, 2600), (2000, 3600, 2000, 3200)]",758.0,fast_thinking,50960.0,SubTSP‑50960
258.84,50960,"[(0, 1600, 2200, 3372), (1800, 3400, 0, 1000)]",285.0,reasoning,50960.0,SubTSP‑50960
261.37,50960,"[(0, 1200, 0, 1200), (2800, 4200, 2200, 3372)]",96.0,fast_thinking,50960.0,SubTSP‑50960
309.25,50960,"[(1200, 2600, 900, 2200), (2400, 3800, 1800, 3200)]",605.0,fast_thinking,50960.0,SubTSP‑50960
312.93,50960,"[(3429, 3596, 839, 939), (1630, 3665, 861, 1443)]",263.0,reasoning,50960.0,SubTSP‑50960
314.08,50960,"[(2390, 2991, 1289, 1800), (848, 3464, 1292, 1803)]",309.0,fast_thinking,50960.0,SubTSP‑50960
319.04,50960,"[(3617, 3951, 1277, 2460), (2871, 3358, 474, 999)]",70.0,fast_thinking,50960.0,SubTSP‑50960
323.31,50960,"[(1466, 3081, 873, 1668), (1738, 3949, 456, 1072)]",476.0,reasoning,50960.0,SubTSP‑50960
