latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
37.7,564699,,,LKH,,
49.94,564090,"[(10800, 16200, 7000, 11500)]",913.0,fast_thinking,564699.0,SubTSP‑564699
66.28,564054,"[(15900, 20300, 5100, 8200)]",283.0,reasoning,564699.0,SubTSP‑564090
69.95,563801,"[(2000, 7200, 4200, 9500)]",768.0,reasoning,564090.0,SubTSP‑564054
73.56,563537,"[(12000, 20000, 11500, 15698)]",622.0,reasoning,564090.0,SubTSP‑563801
77.22,563537,"[(2000, 7400, 4200, 9800), (10400, 12800, 7550, 10250)]",1111.0,fast_thinking,564090.0,SubTSP‑563537
102.75,563246,"[(9160, 12800, 7200, 10400)]",453.0,fast_thinking,563537.0,SubTSP‑563537
108.62,563152,"[(10800, 16200, 9600, 13600)]",793.0,fast_thinking,563537.0,SubTSP‑563246
164.8,563141,"[(9000, 15000, 12000, 14470), (15500, 21049, 3500, 7800)]",827.0,reasoning,563537.0,SubTSP‑563152
169.75,562790,"[(2400, 7600, 5200, 9200)]",619.0,fast_thinking,563152.0,SubTSP‑563141
174.51,562361,"[(8400, 11400, 8700, 11200), (15000, 21049, 3000, 7000)]",589.0,reasoning,563152.0,SubTSP‑562790
231.59,562093,"[(13200, 20000, 3600, 7600)]",593.0,reasoning,563152.0,SubTSP‑562361
326.12,561814,"[(6860, 15740, 12000, 16227)]",717.0,reasoning,562361.0,SubTSP‑562093
366.08,561814,"[(200, 7600, 9000, 14000), (14000, 21049, 4000, 9000)]",1594.0,reasoning,562361.0,SubTSP‑561814
430.71,561814,"[(2200, 7600, 6400, 10200), (9800, 15000, 5400, 9600)]",1554.0,fast_thinking,563537.0,SubTSP‑561814
432.28,561769,"[(8200, 13200, 7800, 10600)]",537.0,reasoning,562093.0,SubTSP‑561814
448.89,561701,"[(2000, 7600, 8600, 13000)]",655.0,reasoning,562093.0,SubTSP‑561769
477.17,561392,"[(8200, 13200, 10800, 15698)]",642.0,reasoning,562093.0,SubTSP‑561701
