latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
1.08,18691646,,,LKH,,
9.81,18676281,"[(600000, 1096560, 0, 500000), (0, 600000, 600000, 1106815)]",475.0,fast_thinking,18691646.0,SubTSP‑18691646
22.3,18674073,"[(700000, 1050000, 300000, 900000)]",324.0,reasoning,18691646.0,SubTSP‑18676281
34.7,18668034,"[(600000, 1096560, 0, 600000)]",344.0,fast_thinking,18676281.0,SubTSP‑18674073
37.07,18668034,"[(812786, 1007360, -20728, 302542), (-44724, -929, 583079, 950620)]",31.0,fast_thinking,18674073.0,SubTSP‑18668034
48.1,18668034,"[(600000, 1096560, 420000, 880000)]",274.0,fast_thinking,18668034.0,SubTSP‑18668034
53.48,18668034,"[(-77312, 214236, 1067730, 1091198)]",1.0,fast_thinking,18668034.0,SubTSP‑18668034
60.09,18668034,"[(250000, 620000, 750000, 1100000), (250000, 700000, 0, 350000)]",342.0,fast_thinking,18668034.0,SubTSP‑18668034
61.98,18668034,"[(858285, 982381, 824229, 952883), (763256, 847547, -53203, 995667)]",53.0,reasoning,18676281.0,SubTSP‑18668034
65.73,18668034,"[(0, 250000, 800000, 1100000), (700000, 1096560, 0, 600000)]",295.0,fast_thinking,18668034.0,SubTSP‑18668034
71.73,18668034,"[(0, 600000, 600000, 1106815), (600000, 1096560, 0, 400000)]",370.0,fast_thinking,18668034.0,SubTSP‑18668034
77.0,18668034,"[(0, 600000, 0, 400000), (600000, 1096560, 600000, 1106815)]",382.0,fast_thinking,18668034.0,SubTSP‑18668034
83.59,18668034,"[(600000, 1096560, 0, 400000), (0, 600000, 600000, 1106815)]",370.0,fast_thinking,18668034.0,SubTSP‑18668034
88.48,18668034,"[(0, 600000, 0, 350000), (0, 600000, 350000, 600000)]",250.0,fast_thinking,18668034.0,SubTSP‑18668034
106.16,18668034,"[(607304, 1096560, 596730, 1106815), (607304, 1096560, 0, 298365)]",184.0,fast_thinking,18668034.0,SubTSP‑18668034
115.03,18660188,"[(394912, 802047, 216135, 1081837), (381773, 702506, -87136, 578555)]",382.0,fast_thinking,18668034.0,SubTSP‑18668034
141.04,18660188,"[(821880, 1013120, 940044, 1003900), (167958, 1005325, 267733, 866525)]",470.0,fast_thinking,18660188.0,SubTSP‑18660188
143.41,18660188,"[(1065184, 1077820, 797246, 986608)]",1.0,fast_thinking,18660188.0,SubTSP‑18660188
155.64,18660188,"[(270000, 650000, 800000, 1106815), (270000, 650000, 0, 300000)]",277.0,fast_thinking,18660188.0,SubTSP‑18660188
160.01,18660188,"[(650000, 1096560, 0, 300000)]",38.0,fast_thinking,18660188.0,SubTSP‑18660188
169.95,18660188,"[(-25634, 973242, 108422, 792206), (148864, 679874, -35273, 578224)]",869.0,fast_thinking,18660188.0,SubTSP‑18660188
172.52,18660188,"[(900000, 1096560, 800000, 1106815)]",76.0,fast_thinking,18660188.0,SubTSP‑18660188
206.43,18660188,"[(0, 607304, 596730, 1106815), (607304, 1096560, 0, 596730)]",562.0,fast_thinking,18660188.0,SubTSP‑18660188
207.42,18660188,"[(0, 600000, 0, 600000), (600000, 1096560, 600000, 1106815)]",383.0,fast_thinking,18660188.0,SubTSP‑18660188
218.02,18660188,"[(0, 600000, 0, 300000), (0, 600000, 300000, 600000)]",250.0,fast_thinking,18660188.0,SubTSP‑18660188
223.59,18660188,"[(600000, 1096560, 600000, 1106815), (0, 600000, 600000, 1106815)]",358.0,fast_thinking,18660188.0,SubTSP‑18660188
255.17,18660188,"[(356863, 716795, 834567, 844229)]",1.0,fast_thinking,18660188.0,SubTSP‑18660188
261.71,18660188,"[(750000, 1096560, 600000, 1106815), (0, 350000, 0, 350000)]",202.0,fast_thinking,18660188.0,SubTSP‑18660188
272.11,18660188,"[(700000, 1096560, 700000, 1106815), (0, 400000, 0, 400000)]",179.0,fast_thinking,18660188.0,SubTSP‑18660188
278.22,18660188,"[(400000, 700000, 650000, 1106815), (400000, 700000, 0, 400000)]",261.0,fast_thinking,18660188.0,SubTSP‑18660188
290.89,18660188,"[(0, 500000, 600000, 1106815), (500000, 1096560, 0, 500000)]",562.0,fast_thinking,18660188.0,SubTSP‑18660188
305.64,18660188,"[(500000, 1096560, 0, 500000), (0, 500000, 600000, 1106815)]",562.0,fast_thinking,18660188.0,SubTSP‑18660188
316.69,18660188,"[(500000, 1096560, 0, 600000), (250000, 1096560, 600000, 1106815)]",690.0,fast_thinking,18660188.0,SubTSP‑18660188
324.89,18660188,"[(0, 600000, 0, 400000), (500000, 1096560, 400000, 700000)]",479.0,fast_thinking,18660188.0,SubTSP‑18660188
330.24,18660188,"[(600000, 1096560, 0, 400000), (0, 500000, 700000, 1106815)]",325.0,fast_thinking,18660188.0,SubTSP‑18660188
335.58,18660188,"[(0, 600000, 0, 400000), (500000, 1096560, 700000, 1106815)]",354.0,fast_thinking,18660188.0,SubTSP‑18660188
346.92,18660188,"[(0, 600000, 0, 400000), (500000, 1096560, 700000, 1106815)]",354.0,fast_thinking,18660188.0,SubTSP‑18660188
359.46,18660188,"[(0, 550000, 0, 350000), (0, 550000, 400000, 700000)]",245.0,fast_thinking,18660188.0,SubTSP‑18660188
377.08,18660188,"[(0, 380000, 700000, 1106815), (700000, 1096560, 700000, 1106815)]",246.0,fast_thinking,18660188.0,SubTSP‑18660188
388.61,18660188,"[(0, 570000, 580000, 1106815), (550000, 1096560, 0, 550000)]",572.0,fast_thinking,18660188.0,SubTSP‑18660188
403.21,18660188,"[(0, 550000, 580000, 1106815), (570000, 1096560, 0, 550000)]",557.0,fast_thinking,18660188.0,SubTSP‑18660188
425.84,18660188,"[(0, 550000, 0, 285000), (0, 550000, 285000, 570000)]",214.0,fast_thinking,18660188.0,SubTSP‑18660188
437.62,18660188,"[(0, 550000, 0, 570000), (0, 550000, 570000, 1106815)]",439.0,fast_thinking,18660188.0,SubTSP‑18660188
443.01,18660188,"[(0, 599000, 0, 350000), (800000, 1096560, 650000, 1106815)]",347.0,reasoning,18660188.0,SubTSP‑18660188
449.96,18660188,"[(117855, 642132, 588987, 883168), (1050519, 1085819, 617719, 955451)]",73.0,fast_thinking,18660188.0,SubTSP‑18660188
456.28,18660188,"[(600000, 1096560, 0, 350000)]",106.0,fast_thinking,18660188.0,SubTSP‑18660188
462.8,18660188,"[(931479, 1065350, 959582, 1065282), (362205, 828786, 553891, 909169)]",27.0,fast_thinking,18660188.0,SubTSP‑18660188
473.83,18660188,"[(0, 400000, 0, 400000), (500000, 950000, 700000, 1100000)]",111.0,fast_thinking,18660188.0,SubTSP‑18660188
475.17,18660188,"[(300000, 700000, 360000, 700000)]",48.0,reasoning,18660188.0,SubTSP‑18660188
481.06,18660188,"[(400000, 850000, 0, 400000), (0, 500000, 600000, 1100000)]",462.0,fast_thinking,18660188.0,SubTSP‑18660188
500.47,18660188,"[(600000, 1096560, 0, 600000), (0, 600000, 600000, 1106815)]",569.0,fast_thinking,18660188.0,SubTSP‑18660188
548.69,18660188,"[(600000, 1096560, 0, 400000)]",145.0,fast_thinking,18660188.0,SubTSP‑18660188
556.86,18660188,"[(0, 600000, 700000, 1106815), (0, 600000, 0, 400000)]",431.0,fast_thinking,18660188.0,SubTSP‑18660188
572.14,18660188,"[(0, 370000, 650000, 1106815), (0, 500000, 0, 450000)]",329.0,fast_thinking,18660188.0,SubTSP‑18660188
606.74,18660188,"[(0, 600000, 0, 298000), (0, 600000, 298000, 600000)]",250.0,fast_thinking,18660188.0,SubTSP‑18660188
612.59,18660188,"[(0, 540000, 600000, 1106815), (540000, 1096560, 0, 400000)]",417.0,fast_thinking,18660188.0,SubTSP‑18660188
625.53,18660188,"[(540000, 1096560, 0, 400000), (0, 540000, 300000, 1106815)]",452.0,fast_thinking,18660188.0,SubTSP‑18660188
652.35,18660188,"[(300000, 650000, 550000, 900000), (300000, 700000, 0, 300000)]",190.0,reasoning,18660188.0,SubTSP‑18660188
666.84,18660188,"[(750000, 1096560, 250000, 900000)]",308.0,reasoning,18660188.0,SubTSP‑18660188
685.29,18660188,"[(0, 600000, 600000, 1106815), (600000, 1096560, 600000, 1106815)]",358.0,fast_thinking,18660188.0,SubTSP‑18660188
710.75,18660188,"[(0, 600000, 600000, 1106815), (600000, 1096560, 600000, 1106815)]",358.0,fast_thinking,18660188.0,SubTSP‑18660188
762.75,18660188,"[(68693, 584478, 291201, 756290), (209229, 985659, 756712, 923395)]",192.0,reasoning,18660188.0,SubTSP‑18660188
791.0,18660188,"[(600000, 1096560, 0, 500000), (0, 600000, 500000, 1106815)]",475.0,fast_thinking,18660188.0,SubTSP‑18660188
793.43,18660188,"[(0, 600000, 0, 500000), (600000, 1096560, 500000, 1106815)]",477.0,fast_thinking,18660188.0,SubTSP‑18660188
800.73,18660188,"[(607304, 1096560, 0, 895095)]",435.0,reasoning,18660188.0,SubTSP‑18660188
806.04,18660188,"[(0, 600000, 0, 500000), (600000, 1096560, 500000, 1106815)]",477.0,fast_thinking,18660188.0,SubTSP‑18660188
817.03,18660188,"[(600000, 1096560, 0, 500000), (0, 600000, 500000, 1106815)]",475.0,fast_thinking,18660188.0,SubTSP‑18660188
819.87,18660188,"[(0, 600000, 0, 500000), (600000, 1096560, 500000, 1106815)]",477.0,fast_thinking,18660188.0,SubTSP‑18660188
832.07,18660188,"[(0, 600000, 600000, 1106815), (400000, 1096560, 0, 500000)]",649.0,fast_thinking,18660188.0,SubTSP‑18660188
873.93,18660188,"[(850000, 1096560, 600000, 1106815)]",133.0,fast_thinking,18660188.0,SubTSP‑18660188
894.52,18660188,"[(857100, 961373, 987171, 1079423)]",2.0,fast_thinking,18660188.0,SubTSP‑18660188
902.06,18660188,"[(250000, 647847, 0, 300000)]",184.0,fast_thinking,18660188.0,SubTSP‑18660188
908.5,18660188,"[(0, 400000, 700000, 1106815), (600000, 1096560, 600000, 1106815)]",283.0,fast_thinking,18660188.0,SubTSP‑18660188
919.99,18660188,"[(0, 600000, 600000, 1106815), (0, 600000, 0, 400000)]",474.0,fast_thinking,18660188.0,SubTSP‑18660188
937.56,18660188,"[(651853, 1081194, 123195, 756402), (378836, 1067518, 246074, 882690)]",816.0,fast_thinking,18660188.0,SubTSP‑18660188
939.22,18660188,"[(3211, 206178, 771277, 1034354), (263392, 354259, 628089, 700588)]",32.0,fast_thinking,18660188.0,SubTSP‑18660188
953.48,18660188,"[(0, 500000, 600000, 1106815), (500000, 1096560, 0, 500000)]",562.0,fast_thinking,18660188.0,SubTSP‑18660188
966.17,18660188,"[(500000, 1096560, 0, 500000), (0, 500000, 600000, 1106815)]",562.0,fast_thinking,18660188.0,SubTSP‑18660188
974.67,18660188,"[(0, 500000, 0, 600000), (600000, 1096560, 600000, 1106815)]",294.0,fast_thinking,18660188.0,SubTSP‑18660188
981.03,18660188,"[(0, 600000, 600000, 1106815), (300000, 900000, 0, 400000)]",488.0,fast_thinking,18660188.0,SubTSP‑18660188
992.34,18660188,"[(0, 600000, 400000, 1106815), (600000, 1096560, 0, 400000)]",371.0,fast_thinking,18660188.0,SubTSP‑18660188
997.66,18660188,"[(0, 600000, 0, 400000), (600000, 1096560, 400000, 1106815)]",581.0,fast_thinking,18660188.0,SubTSP‑18660188
