latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
0.13,2579,,,LKH,,
26.81,2579,"[(225, 280, 140, 200), (101, 200, 0, 39)]",28.0,reasoning,2579.0,SubTSP‑2579
32.99,2579,"[(140, 280, 40, 170)]",110.0,fast_thinking,2579.0,SubTSP‑2579
39.14,2579,"[(120, 200, 120, 180), (200, 260, 20, 120)]",68.0,reasoning,2579.0,SubTSP‑2579
45.49,2579,"[(110, 155, 0, 85), (165, 245, 120, 175)]",40.0,fast_thinking,2579.0,SubTSP‑2579
51.04,2579,"[(250, 280, 0, 85), (110, 155, 85, 170)]",34.0,fast_thinking,2579.0,SubTSP‑2579
64.2,2579,"[(0, 100, 10, 170), (220, 240, 20, 180)]",125.0,reasoning,2579.0,SubTSP‑2579
80.67,2579,"[(140, 270, 60, 175)]",88.0,fast_thinking,2579.0,SubTSP‑2579
83.26,2579,"[(105, 185, 20, 170), (245, 280, 50, 160)]",95.0,reasoning,2579.0,SubTSP‑2579
86.4,2579,"[(270, 420, 60, 175)]",18.0,fast_thinking,2579.0,SubTSP‑2579
