latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
37.7,564699,,,LKH,,
62.93,564699,"[(17500, 21049, 13750, 15698)]",48.0,fast_thinking,564699.0,SubTSP‑564699
65.27,564699,"[(17500, 21049, 13750, 15698)]",48.0,reasoning,564699.0,SubTSP‑564699
75.35,564699,"[(17500, 21049, 13750, 15698)]",48.0,fast_thinking,564699.0,SubTSP‑564699
97.09,564668,"[(17500, 21049, 6348, 15698)]",229.0,reasoning,564699.0,SubTSP‑564699
102.09,564668,"[(18000, 21049, 6000, 15698)]",138.0,fast_thinking,564699.0,SubTSP‑564668
187.73,564668,"[(18000, 21049, 3013, 6000)]",59.0,fast_thinking,564668.0,SubTSP‑564668
215.46,564602,"[(14700, 16500, 9000, 11800)]",184.0,reasoning,564699.0,SubTSP‑564668
289.31,564457,"[(3000, 7000, 5000, 9000)]",461.0,reasoning,564668.0,SubTSP‑564602
482.59,564337,"[(3200, 4800, 7920, 8800), (12000, 14800, 7300, 9500)]",256.0,reasoning,564602.0,SubTSP‑564457
530.26,564271,"[(3000, 7000, 2468, 5000), (14700, 16500, 9000, 11800)]",321.0,reasoning,564457.0,SubTSP‑564337
548.43,563969,"[(14000, 16500, 9000, 13000)]",346.0,fast_thinking,564668.0,SubTSP‑564271
679.91,563969,"[(16000, 18500, 4000, 10000), (1285, 11229, 11934, 14062)]",874.0,reasoning,563969.0,SubTSP‑563969
682.11,563838,"[(2500, 7500, 10000, 13000)]",283.0,fast_thinking,563969.0,SubTSP‑563969
752.91,563838,"[(18500, 21049, 11000, 15698)]",29.0,reasoning,563838.0,SubTSP‑563838
790.11,563733,"[(5000, 8000, 4000, 7000)]",291.0,reasoning,563838.0,SubTSP‑563838
918.59,563610,"[(9200, 12800, 7400, 9600)]",307.0,reasoning,563838.0,SubTSP‑563733
970.97,563610,"[(4000, 8000, 10000, 15000), (17000, 21049, 3013, 6000)]",451.0,reasoning,563733.0,SubTSP‑563610
1018.57,563027,"[(12000, 15000, 9000, 13000)]",460.0,reasoning,563610.0,SubTSP‑563610
1114.26,563024,"[(17000, 21049, 6000, 9000)]",217.0,reasoning,563027.0,SubTSP‑563027
1124.98,563024,"[(18500, 21049, 3013, 7000), (1800, 4000, 5031, 9700)]",196.0,fast_thinking,563027.0,SubTSP‑563024
1207.24,563024,"[(18500, 21049, 3013, 7000), (1850, 3400, 7760, 10670)]",190.0,reasoning,563027.0,SubTSP‑563024
1270.98,562825,"[(14800, 17500, 6300, 9800)]",345.0,fast_thinking,563024.0,SubTSP‑563024
1523.77,562704,"[(13000, 17000, 6500, 9500)]",467.0,reasoning,563024.0,SubTSP‑562825
1952.06,562704,"[(2000, 6000, 3013, 5000), (9600, 12500, 6300, 9400)]",458.0,fast_thinking,562704.0,SubTSP‑562704
2075.75,562248,"[(6700, 9500, 6500, 9400), (6000, 9600, 4700, 7500)]",645.0,fast_thinking,562704.0,SubTSP‑562704
2526.21,562248,"[(8000, 11000, 3700, 7000), (13000, 17000, 8000, 11000)]",823.0,fast_thinking,562704.0,SubTSP‑562248
2607.56,562176,"[(4000, 8000, 3013, 7500)]",484.0,fast_thinking,562248.0,SubTSP‑562248
2636.83,562176,"[(6700, 9500, 10500, 13500), (18000, 21000, 4000, 6500)]",283.0,fast_thinking,562248.0,SubTSP‑562176
2670.12,561196,"[(13000, 18706, 3633, 6500)]",400.0,reasoning,562248.0,SubTSP‑562176
2739.79,561196,"[(10000, 12500, 6900, 8400), (18000, 21853, 7600, 16667)]",237.0,reasoning,562248.0,SubTSP‑561196
2774.79,561196,"[(9500, 12500, 6700, 8400), (17000, 21049, 8000, 15698)]",391.0,fast_thinking,562176.0,SubTSP‑561196
2808.1,561035,"[(16000, 19500, 4000, 7500), (2000, 8000, 3013, 6500)]",622.0,reasoning,561196.0,SubTSP‑561196
2823.02,561035,"[(18000, 21000, 6900, 13700), (1000, 4500, 4200, 7500)]",177.0,fast_thinking,561196.0,SubTSP‑561035
2844.76,561035,"[(5000, 7800, 4600, 7500), (3000, 6000, 12000, 15698)]",486.0,reasoning,561196.0,SubTSP‑561035
2920.13,561035,"[(4000, 8500, 3013, 6500), (13000, 17500, 9000, 11500)]",740.0,fast_thinking,561035.0,SubTSP‑561035
2979.81,561035,"[(17000, 21049, 3013, 6500), (1000, 4500, 3013, 6500)]",277.0,fast_thinking,561035.0,SubTSP‑561035
3011.7,561035,"[(4000, 7500, 10000, 13500), (18000, 21000, 6900, 13700)]",288.0,fast_thinking,561035.0,SubTSP‑561035
3042.25,561035,"[(4000, 8500, 3013, 6500), (1000, 4500, 7500, 12000)]",743.0,fast_thinking,561035.0,SubTSP‑561035
3196.57,560958,"[(6500, 9800, 6200, 9400)]",480.0,reasoning,561035.0,SubTSP‑561035
