latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
1.08,18691646,,,LKH,,
7.32,18691646,"[(400000, 700000, 200000, 500000), (700000, 1000000, 500000, 900000)]",270.0,fast_thinking,18691646.0,SubTSP‑18691646
13.9,18675542,"[(650000, 1050000, 250000, 600000)]",287.0,reasoning,18691646.0,SubTSP‑18691646
19.42,18668282,"[(0, 400000, 700000, 1100000), (600000, 1000000, 0, 400000)]",274.0,fast_thinking,18691646.0,SubTSP‑18675542
33.06,18668282,"[(650000, 1100000, 250000, 700000), (200000, 600000, 400000, 900000)]",377.0,fast_thinking,18668282.0,SubTSP‑18668282
64.54,18668282,"[(650000, 1100000, 0, 400000), (200000, 650000, 500000, 1000000)]",216.0,fast_thinking,18668282.0,SubTSP‑18668282
70.0,18668034,"[(750000, 1100000, 200000, 600000)]",213.0,fast_thinking,18668282.0,SubTSP‑18668282
86.74,18668034,"[(750000, 1100000, 100000, 750000), (300000, 650000, 700000, 1100000)]",348.0,fast_thinking,18668034.0,SubTSP‑18668034
97.04,18668034,"[(800000, 1100000, 200000, 600000), (200000, 550000, 700000, 1100000)]",322.0,fast_thinking,18668034.0,SubTSP‑18668034
110.29,18668034,"[(850000, 1200000, 600000, 1000000)]",131.0,reasoning,18668034.0,SubTSP‑18668034
122.53,18668034,"[(200000, 650000, 0, 400000), (600000, 1000000, 0, 400000)]",391.0,fast_thinking,18668034.0,SubTSP‑18668034
133.81,18668034,"[(700000, 1100000, 700000, 1100000)]",103.0,reasoning,18668034.0,SubTSP‑18668034
136.64,18668034,"[(300000, 700000, 400000, 800000), (750000, 1100000, 700000, 1100000)]",137.0,fast_thinking,18668034.0,SubTSP‑18668034
142.69,18668034,"[(300000, 750000, 0, 700000)]",319.0,fast_thinking,18668034.0,SubTSP‑18668034
149.44,18668034,"[(804998, 882082, 514237, 682514), (-90781, 522767, 858399, 1040365)]",132.0,reasoning,18668034.0,SubTSP‑18668034
154.17,18668034,"[(600000, 1000000, 300000, 700000)]",281.0,fast_thinking,18668034.0,SubTSP‑18668034
160.53,18668034,"[(750000, 1100000, 0, 400000), (400000, 850000, 200000, 600000)]",304.0,fast_thinking,18668034.0,SubTSP‑18668034
181.44,18668034,"[(1080420, 1082091, 106847, 851701)]",1.0,reasoning,18668034.0,SubTSP‑18668034
184.39,18668034,"[(750000, 1100000, 0, 400000)]",82.0,fast_thinking,18668034.0,SubTSP‑18668034
203.05,18668034,"[(750000, 1150000, 700000, 1050000)]",102.0,reasoning,18668034.0,SubTSP‑18668034
206.81,18668034,"[(400000, 800000, 0, 400000), (700000, 1100000, 400000, 900000)]",515.0,fast_thinking,18668034.0,SubTSP‑18668034
217.27,18668034,"[(600000, 1000000, 100000, 500000)]",205.0,fast_thinking,18668034.0,SubTSP‑18668034
222.22,18668034,"[(200000, 650000, 400000, 850000), (800000, 1100000, 900000, 1200000)]",81.0,fast_thinking,18668034.0,SubTSP‑18668034
226.05,18668034,"[(200000, 600000, 600000, 1000000)]",107.0,reasoning,18668034.0,SubTSP‑18668034
228.34,18668034,"[(700000, 1208020, 500000, 1216161)]",211.0,fast_thinking,18668034.0,SubTSP‑18668034
236.33,18668034,"[(600000, 1100000, 0, 400000)]",145.0,reasoning,18668034.0,SubTSP‑18668034
240.08,18668034,"[(400000, 900000, 0, 400000)]",248.0,fast_thinking,18668034.0,SubTSP‑18668034
252.56,18668034,"[(800000, 1208020, 200000, 900000)]",288.0,fast_thinking,18668034.0,SubTSP‑18668034
255.42,18668034,"[(860531, 982954, 940948, 1042833), (124204, 475876, 759061, 790698)]",16.0,reasoning,18668034.0,SubTSP‑18668034
