latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
37.7,564699,,,LKH,,
126.15,564465,"[(7000, 9000, 7000, 9000)]",193.0,fast_thinking,564699.0,SubTSP‑564699
139.85,564171,"[(10500, 14500, 6000, 8000)]",351.0,reasoning,564699.0,SubTSP‑564465
183.34,564031,"[(5000, 9000, 6000, 8500)]",444.0,fast_thinking,564699.0,SubTSP‑564171
195.78,564031,"[(12000, 17000, 6000, 8500)]",455.0,reasoning,564465.0,SubTSP‑564031
227.76,563647,"[(15000, 21000, 4000, 7000)]",301.0,reasoning,564031.0,SubTSP‑564031
239.69,563647,"[(4500, 7500, 5000, 7500)]",274.0,fast_thinking,564171.0,SubTSP‑563647
254.8,563647,"[(1500, 5500, 4000, 8500)]",296.0,reasoning,564031.0,SubTSP‑563647
295.06,563647,"[(3000, 7000, 4000, 7000)]",300.0,reasoning,563647.0,SubTSP‑563647
330.21,563647,"[(1000, 5000, 4000, 8500)]",224.0,reasoning,563647.0,SubTSP‑563647
381.99,563593,"[(11411, 13355, 4700, 9240)]",323.0,fast_thinking,563647.0,SubTSP‑563647
416.97,563593,"[(1000, 5000, 6000, 10000)]",357.0,fast_thinking,563647.0,SubTSP‑563593
481.39,563521,"[(5000, 9000, 4000, 7000)]",412.0,reasoning,563647.0,SubTSP‑563593
594.74,563460,"[(7200, 9600, 6300, 7800)]",182.0,reasoning,563593.0,SubTSP‑563521
637.85,563460,"[(1000, 5000, 10000, 15000)]",409.0,reasoning,563521.0,SubTSP‑563460
669.4,563460,"[(1000, 5000, 6000, 10000)]",357.0,reasoning,563460.0,SubTSP‑563460
693.32,563457,"[(6720, 10080, 4320, 7200)]",378.0,fast_thinking,563521.0,SubTSP‑563460
766.53,563457,"[(1000, 5000, 1000, 5000)]",84.0,fast_thinking,563457.0,SubTSP‑563457
791.21,563457,"[(1000, 5000, 10000, 15000)]",409.0,reasoning,563457.0,SubTSP‑563457
844.98,563457,"[(1000, 5000, 5000, 10000)]",372.0,fast_thinking,563457.0,SubTSP‑563457
