latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
316.45,1592268,,,LKH,,
339.68,1591557,"[(5753, 17918, 20361, 22190)]",940.0,reasoning,1592268.0,SubTSP‑1592268
346.33,1591273,"[(3216, 7612, 10763, 14625), (18050, 18093, 11640, 20094)]",280.0,fast_thinking,1592268.0,SubTSP‑1591557
362.28,1590104,"[(8918, 10045, 14057, 19255), (2128, 4887, 14571, 20365)]",509.0,reasoning,1592268.0,SubTSP‑1591273
367.06,1590092,"[(12398, 12894, 10364, 11954), (6587, 11101, 6770, 7083)]",158.0,reasoning,1591557.0,SubTSP‑1590104
377.29,1589793,"[(11093, 14642, 2039, 3888), (11752, 12003, 5590, 11110)]",315.0,fast_thinking,1590104.0,SubTSP‑1590092
435.14,1589694,"[(12765, 17601, 18000, 21274), (15540, 15801, 19286, 20081)]",630.0,reasoning,1589793.0,SubTSP‑1589793
452.3,1589569,"[(10800, 13234, 15572, 19602), (1529, 17064, 7524, 8455)]",1303.0,fast_thinking,1589793.0,SubTSP‑1589694
467.79,1589142,"[(4794, 10581, 19681, 20487), (2895, 7297, 17592, 22220)]",703.0,reasoning,1589793.0,SubTSP‑1589569
476.67,1588929,"[(15326, 18049, 14494, 23033), (15390, 15552, 9182, 22334)]",579.0,reasoning,1589793.0,SubTSP‑1589142
490.46,1588502,"[(14878, 16793, 2805, 8874), (10996, 12165, 11866, 17495)]",571.0,fast_thinking,1589793.0,SubTSP‑1588929
490.94,1588430,"[(14261, 15055, 11867, 14198), (11365, 13593, 21234, 21914)]",155.0,reasoning,1589569.0,SubTSP‑1588502
529.48,1588398,"[(8327, 10383, 11245, 12515)]",282.0,fast_thinking,1588430.0,SubTSP‑1588430
536.92,1588316,"[(6263, 6762, 22056, 22580), (14922, 16200, 16390, 19830)]",281.0,fast_thinking,1588430.0,SubTSP‑1588398
540.67,1588259,"[(785, 4756, 17429, 18474), (14108, 14601, 12383, 22875)]",328.0,fast_thinking,1588398.0,SubTSP‑1588316
558.86,1588192,"[(7931, 8678, 8731, 13066), (13421, 16574, 20896, 21128)]",233.0,fast_thinking,1588316.0,SubTSP‑1588259
559.55,1587979,"[(11365, 11429, 16693, 20668), (8055, 11970, 3748, 6003)]",289.0,reasoning,1588316.0,SubTSP‑1588192
591.69,1587970,"[(13410, 14182, 10730, 19668), (18088, 18099, 5036, 13455)]",513.0,reasoning,1588259.0,SubTSP‑1587979
605.19,1587820,"[(5002, 14838, 6088, 9195)]",968.0,fast_thinking,1588259.0,SubTSP‑1587970
612.57,1587799,"[(14833, 16942, 16351, 19198), (6103, 15745, 20599, 21420)]",779.0,reasoning,1587979.0,SubTSP‑1587820
626.15,1587467,"[(9701, 15740, 437, 4324), (11277, 11463, 12904, 15928)]",727.0,fast_thinking,1587979.0,SubTSP‑1587799
626.33,1587467,"[(3742, 4171, 15297, 15373), (15661, 16829, 17951, 22124)]",123.0,fast_thinking,1587820.0,SubTSP‑1587467
640.45,1587467,"[(13367, 16027, 17877, 22098), (1608, 16562, 843, 2602)]",1318.0,fast_thinking,1587970.0,SubTSP‑1587467
655.14,1587098,"[(12276, 15668, 12056, 13850), (15465, 16762, 16914, 18113)]",526.0,reasoning,1587799.0,SubTSP‑1587467
663.94,1587087,"[(7602, 8709, 10513, 10609), (12884, 13165, 4812, 19364)]",271.0,fast_thinking,1587467.0,SubTSP‑1587098
684.84,1586980,"[(15765, 16522, 3290, 8387), (11828, 15361, 18601, 21476)]",550.0,reasoning,1587467.0,SubTSP‑1587087
689.35,1586521,"[(13386, 15331, 14545, 18772), (8709, 17846, 14793, 14860)]",525.0,fast_thinking,1587098.0,SubTSP‑1586980
689.55,1586444,"[(6789, 7968, 17049, 18629), (16823, 17762, 12166, 13478)]",107.0,reasoning,1587087.0,SubTSP‑1586521
689.78,1586418,"[(11379, 18099, 17835, 18379), (14607, 15973, 21623, 22997)]",183.0,fast_thinking,1587087.0,SubTSP‑1586444
713.06,1586418,"[(12259, 13636, 5209, 15345), (9258, 9431, 8807, 21510)]",1131.0,reasoning,1586980.0,SubTSP‑1586418
723.4,1586418,"[(9040, 9181, 10966, 12426), (10912, 12288, 7749, 9706)]",164.0,fast_thinking,1586418.0,SubTSP‑1586418
748.59,1585619,"[(9405, 14265, 20341, 20360), (5561, 11651, 14305, 17779)]",805.0,reasoning,1586418.0,SubTSP‑1586418
756.11,1585336,"[(14277, 17674, 14357, 17753), (14107, 18023, 6429, 10887)]",701.0,reasoning,1586418.0,SubTSP‑1585619
757.56,1585336,"[(9907, 10063, 15325, 23562), (14624, 16663, 15151, 15422)]",97.0,reasoning,1585619.0,SubTSP‑1585336
758.0,1585336,"[(13474, 16016, 20349, 21348), (12962, 17080, 22620, 23603)]",133.0,fast_thinking,1586418.0,SubTSP‑1585336
773.18,1585336,"[(17811, 17818, 4091, 13066)]",1.0,fast_thinking,1585336.0,SubTSP‑1585336
773.9,1585330,"[(10434, 10783, 8235, 15778)]",250.0,reasoning,1585336.0,SubTSP‑1585336
774.25,1585330,"[(6101, 6418, 13580, 14175)]",2.0,fast_thinking,1585336.0,SubTSP‑1585330
790.24,1585294,"[(15754, 16404, 9358, 23578)]",379.0,reasoning,1585336.0,SubTSP‑1585330
819.36,1585169,"[(15750, 17472, 11378, 18894), (13509, 13563, 16121, 23578)]",613.0,fast_thinking,1585330.0,SubTSP‑1585294
821.62,1584933,"[(12749, 14443, 5948, 13470), (13972, 15318, 16518, 17722)]",902.0,reasoning,1585330.0,SubTSP‑1585169
829.94,1584416,"[(11533, 16916, 4359, 10207), (5432, 10803, 19842, 19852)]",678.0,fast_thinking,1585294.0,SubTSP‑1584933
830.41,1584360,"[(11354, 14424, 20971, 22168), (6722, 10168, 17556, 18682)]",267.0,reasoning,1585294.0,SubTSP‑1584416
836.77,1584168,"[(1742, 2885, 8587, 11181), (10841, 13574, 20071, 23455)]",494.0,fast_thinking,1585294.0,SubTSP‑1584360
853.31,1583895,"[(11594, 16271, 17278, 18408), (1865, 11659, 21532, 23007)]",671.0,fast_thinking,1584360.0,SubTSP‑1584168
859.01,1583895,"[(15802, 16494, 17204, 17314), (15364, 18044, 11905, 15887)]",470.0,reasoning,1584168.0,SubTSP‑1583895
916.89,1583836,"[(13989, 16140, 16996, 21808), (859, 7272, 23040, 23138)]",528.0,fast_thinking,1583895.0,SubTSP‑1583895
922.12,1583580,"[(10131, 10796, 8610, 11469), (10700, 16090, 13903, 14700)]",472.0,reasoning,1583895.0,SubTSP‑1583836
922.33,1583572,"[(14741, 15194, 18318, 19601), (11421, 11812, 15038, 23804)]",188.0,fast_thinking,1583895.0,SubTSP‑1583580
933.2,1583513,"[(7058, 9688, 10864, 10946), (14089, 15778, 2687, 6744)]",147.0,reasoning,1583895.0,SubTSP‑1583572
941.08,1583442,"[(15201, 18112, 9658, 18182)]",974.0,fast_thinking,1583836.0,SubTSP‑1583513
953.68,1583343,"[(7950, 8936, 11264, 12582), (7270, 8125, 17910, 20669)]",268.0,fast_thinking,1583513.0,SubTSP‑1583442
969.6,1583307,"[(5454, 6954, 8790, 17505), (16317, 16937, 7143, 14000)]",382.0,reasoning,1583442.0,SubTSP‑1583343
984.31,1583293,"[(9398, 10043, 17331, 18174), (14427, 17152, 12476, 14213)]",197.0,fast_thinking,1583343.0,SubTSP‑1583307
987.33,1583278,"[(11936, 13122, 11352, 11849), (13587, 15017, 10967, 13935)]",429.0,reasoning,1583343.0,SubTSP‑1583293
1009.16,1582847,"[(15982, 17594, 19598, 23813), (7940, 12238, 19627, 21820)]",541.0,fast_thinking,1583307.0,SubTSP‑1583278
1018.86,1582486,"[(11143, 12249, 7545, 10898), (4350, 6828, 10937, 19533)]",720.0,fast_thinking,1583278.0,SubTSP‑1582847
1020.22,1582434,"[(5452, 6844, 15426, 16616), (5605, 14055, 17850, 18793)]",400.0,reasoning,1583278.0,SubTSP‑1582486
1060.38,1582392,"[(8926, 11446, 11943, 16698), (13903, 14336, 9996, 10413)]",808.0,fast_thinking,1582847.0,SubTSP‑1582434
1066.67,1582382,"[(11266, 11850, 18459, 22741), (8103, 9351, 13029, 16982)]",224.0,reasoning,1582434.0,SubTSP‑1582392
1101.6,1582342,"[(738, 8722, 19005, 20978)]",413.0,reasoning,1582392.0,SubTSP‑1582382
1102.08,1582280,"[(12541, 15235, 3646, 4785), (13087, 13346, 17291, 17880)]",105.0,reasoning,1582382.0,SubTSP‑1582342
1109.18,1582279,"[(12968, 16155, 4143, 8298)]",188.0,fast_thinking,1582382.0,SubTSP‑1582280
1128.13,1582165,"[(9335, 16849, 15641, 17834)]",963.0,fast_thinking,1582382.0,SubTSP‑1582279
1132.64,1582165,"[(2689, 2724, 7313, 13153), (15754, 16250, 5835, 19406)]",293.0,fast_thinking,1582279.0,SubTSP‑1582165
1153.82,1582018,"[(14983, 17729, 18634, 19530), (3704, 8487, 18133, 22827)]",952.0,reasoning,1582279.0,SubTSP‑1582165
1158.9,1581972,"[(5068, 12233, 8171, 10033)]",676.0,reasoning,1582165.0,SubTSP‑1582018
