latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
3.51,22305,,,LKH,,
18.86,22257,"[(1200, 2000, 1100, 2000)]",631.0,fast_thinking,22305.0,SubTSP‑22305
26.13,22255,"[(300, 1200, 1650, 2150), (1450, 2150, 100, 500)]",235.0,reasoning,22305.0,SubTSP‑22257
28.96,22249,"[(1550, 2220, 1650, 2050), (900, 1500, 650, 980)]",241.0,reasoning,22257.0,SubTSP‑22255
38.67,22249,"[(1600, 2260, 1500, 2000), (1000, 1600, 1000, 1500)]",382.0,fast_thinking,22257.0,SubTSP‑22249
39.93,22249,"[(1400, 1950, 1200, 1600), (400, 950, 600, 900)]",340.0,fast_thinking,22249.0,SubTSP‑22249
56.45,22249,"[(480, 1100, 600, 1250), (1400, 2100, 1200, 2000)]",431.0,fast_thinking,22249.0,SubTSP‑22249
64.55,22249,"[(1200, 1950, 1100, 1550), (400, 1150, 500, 900)]",616.0,fast_thinking,22249.0,SubTSP‑22249
77.67,22249,"[(1200, 1950, 1250, 1600), (400, 1150, 600, 1000)]",353.0,fast_thinking,22249.0,SubTSP‑22249
109.05,22249,"[(200, 850, 100, 350), (1550, 2200, 1850, 2200)]",153.0,reasoning,22249.0,SubTSP‑22249
150.9,22249,"[(120, 900, 120, 760), (900, 2000, 1120, 1520)]",718.0,fast_thinking,22249.0,SubTSP‑22249
162.27,22249,"[(300, 1050, 150, 780), (1350, 2150, 1500, 2050)]",273.0,reasoning,22249.0,SubTSP‑22249
184.37,22249,"[(300, 980, 520, 1200), (1200, 1960, 1120, 1520)]",612.0,fast_thinking,22249.0,SubTSP‑22249
190.97,22249,"[(950, 1550, 1000, 1450), (170, 820, 1600, 2050)]",350.0,reasoning,22249.0,SubTSP‑22249
196.68,22249,"[(1400, 2050, 1100, 1520), (300, 980, 100, 760)]",493.0,fast_thinking,22249.0,SubTSP‑22249
231.84,22249,"[(300, 1150, 500, 1250), (1250, 2050, 1100, 2000)]",754.0,fast_thinking,22249.0,SubTSP‑22249
237.82,22249,"[(1050, 1900, 1280, 1700), (850, 2000, 150, 650)]",419.0,reasoning,22249.0,SubTSP‑22249
240.67,22249,"[(160, 820, 1720, 2237), (1850, 2264, 100, 760)]",105.0,reasoning,22249.0,SubTSP‑22249
277.37,22249,"[(140, 920, 100, 800), (1050, 2000, 1100, 1600)]",706.0,fast_thinking,22249.0,SubTSP‑22249
297.89,22249,"[(950, 1600, 1000, 1500), (1200, 2000, 150, 650)]",527.0,reasoning,22249.0,SubTSP‑22249
302.46,22249,"[(800, 1400, 1100, 1550), (1200, 2000, 130, 730)]",424.0,fast_thinking,22249.0,SubTSP‑22249
308.47,22249,"[(150, 850, 850, 1500), (1550, 2264, 1500, 2237)]",179.0,reasoning,22249.0,SubTSP‑22249
316.69,22249,"[(880, 1320, 640, 1220), (1320, 1960, 1160, 1960)]",605.0,fast_thinking,22249.0,SubTSP‑22249
322.96,22249,"[(140, 920, 520, 1250), (920, 1700, 1100, 2000)]",715.0,fast_thinking,22249.0,SubTSP‑22249
332.89,22249,"[(159, 850, 150, 760), (950, 1600, 1120, 1700)]",474.0,reasoning,22249.0,SubTSP‑22249
338.89,22249,"[(1400, 1960, 1120, 1520), (520, 1120, 600, 960)]",420.0,fast_thinking,22249.0,SubTSP‑22249
341.72,22249,"[(1600, 2264, 100, 800), (900, 1500, 1800, 2237)]",256.0,reasoning,22249.0,SubTSP‑22249
347.42,22249,"[(120, 720, 120, 820), (1320, 1980, 1120, 1520)]",483.0,fast_thinking,22249.0,SubTSP‑22249
381.56,22249,"[(120, 760, 100, 820), (1320, 1980, 1120, 1520)]",491.0,fast_thinking,22249.0,SubTSP‑22249
386.72,22249,"[(150, 720, 1700, 2237), (1700, 2264, 820, 1500)]",164.0,reasoning,22249.0,SubTSP‑22249
398.68,22249,"[(1200, 1700, 1000, 1550), (300, 1050, 500, 900)]",461.0,fast_thinking,22249.0,SubTSP‑22249
408.59,22249,"[(1550, 2264, 1800, 2237), (1100, 1700, 600, 900)]",239.0,reasoning,22249.0,SubTSP‑22249
416.67,22249,"[(155, 880, 1000, 1600), (1750, 2260, 150, 760)]",218.0,reasoning,22249.0,SubTSP‑22249
426.72,22249,"[(140, 880, 120, 780), (1100, 2000, 1120, 1520)]",672.0,fast_thinking,22249.0,SubTSP‑22249
442.31,22249,"[(1000, 1550, 1100, 1500), (140, 760, 120, 820)]",366.0,fast_thinking,22249.0,SubTSP‑22249
452.63,22249,"[(900, 1220, 980, 1530), (1500, 2050, 1600, 2050)]",210.0,reasoning,22249.0,SubTSP‑22249
459.92,22249,"[(1000, 1500, 1200, 1600), (1500, 2050, 500, 1000)]",261.0,fast_thinking,22249.0,SubTSP‑22249
470.21,22249,"[(1200, 1700, 1100, 1500), (400, 1000, 80, 760)]",516.0,fast_thinking,22249.0,SubTSP‑22249
476.94,22249,"[(1750, 2264, 1800, 2237), (1500, 2050, 100, 500)]",137.0,reasoning,22249.0,SubTSP‑22249
479.16,22249,"[(1150, 1750, 1200, 1600), (1400, 2100, 400, 900)]",433.0,fast_thinking,22249.0,SubTSP‑22249
508.48,22249,"[(100, 900, 100, 800), (1200, 2000, 1100, 1600)]",640.0,fast_thinking,22249.0,SubTSP‑22249
516.12,22249,"[(1400, 2000, 1200, 1600), (400, 1100, 80, 800)]",478.0,fast_thinking,22249.0,SubTSP‑22249
525.71,22249,"[(1200, 1800, 1100, 1600), (150, 950, 120, 800)]",618.0,fast_thinking,22249.0,SubTSP‑22249
531.02,22249,"[(100, 900, 1400, 2000), (900, 1700, 500, 1250)]",561.0,fast_thinking,22249.0,SubTSP‑22249
552.98,22249,"[(950, 1550, 1000, 1500), (1650, 2200, 150, 650)]",433.0,reasoning,22249.0,SubTSP‑22249
587.46,22249,"[(1400, 2000, 1100, 1550), (300, 1000, 100, 800)]",518.0,fast_thinking,22249.0,SubTSP‑22249
594.29,22249,"[(1000, 1600, 250, 800), (1350, 1950, 1120, 1550)]",585.0,reasoning,22249.0,SubTSP‑22249
600.96,22249,"[(160, 900, 180, 760), (1750, 2260, 155, 720)]",74.0,reasoning,22249.0,SubTSP‑22249
610.31,22249,"[(1200, 1750, 1000, 1550), (300, 950, 100, 800)]",583.0,fast_thinking,22249.0,SubTSP‑22249
627.14,22249,"[(1050, 1700, 1120, 1950), (1650, 2260, 100, 650)]",695.0,reasoning,22249.0,SubTSP‑22249
637.05,22249,"[(1400, 2000, 1120, 1520), (300, 1000, 80, 760)]",491.0,fast_thinking,22249.0,SubTSP‑22249
640.26,22249,"[(150, 900, 1350, 1800), (1750, 2260, 1700, 2230)]",156.0,reasoning,22249.0,SubTSP‑22249
956.0,22249,"[(1400, 1960, 1120, 1520), (820, 1320, 680, 1180)]",572.0,fast_thinking,22249.0,SubTSP‑22249
969.82,22249,"[(800, 1400, 1100, 1600), (1200, 1900, 1300, 2000)]",562.0,fast_thinking,22249.0,SubTSP‑22249
1955.33,22249,"[(120, 920, 80, 780), (1100, 2000, 1100, 1600)]",694.0,fast_thinking,22249.0,SubTSP‑22249
