latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
1.08,18691646,,,LKH,,
70.47,18691646,"[(430000, 650000, 700000, 950000), (820000, 1096560, 150000, 950000)]",308.0,fast_thinking,18691646.0,SubTSP‑18691646
97.0,18691646,"[(1020450, 1023966, 854087, 905073)]",1.0,fast_thinking,18691646.0,SubTSP‑18691646
120.96,18677285,"[(600000, 980000, 180000, 700000)]",283.0,fast_thinking,18691646.0,SubTSP‑18691646
139.8,18677285,"[(0, 360000, 560000, 920000), (0, 595000, 0, 360000)]",349.0,fast_thinking,18691646.0,SubTSP‑18677285
161.49,18674953,"[(600000, 1096560, 0, 500000)]",250.0,fast_thinking,18677285.0,SubTSP‑18677285
172.66,18674953,"[(0, 350000, 550000, 920000)]",112.0,fast_thinking,18677285.0,SubTSP‑18674953
193.18,18672104,"[(276833, 1096560, 850000, 1106815)]",146.0,reasoning,18691646.0,SubTSP‑18674953
198.5,18668034,"[(405963, 411775, 832444, 962077), (-95949, 902981, 274042, 1083361)]",484.0,fast_thinking,18674953.0,SubTSP‑18672104
240.12,18668034,"[(780000, 1090000, 600000, 1100000), (100000, 650000, 0, 350000)]",395.0,fast_thinking,18668034.0,SubTSP‑18668034
378.77,18668034,"[(750000, 1096560, 0, 950000)]",337.0,fast_thinking,18668034.0,SubTSP‑18668034
396.47,18668034,"[(279251, 667858, 627902, 1059091), (460973, 963696, 269008, 456305)]",260.0,fast_thinking,18668034.0,SubTSP‑18668034
441.6,18668034,"[(820000, 1060000, 678053, 1000000)]",102.0,fast_thinking,18668034.0,SubTSP‑18668034
462.87,18668034,"[(0, 650000, 550000, 1106815), (700000, 1096560, 200000, 900000)]",588.0,fast_thinking,18668034.0,SubTSP‑18668034
500.24,18668034,"[(750000, 1096560, 500000, 1106815)]",188.0,fast_thinking,18668034.0,SubTSP‑18668034
508.94,18668034,"[(89204, 886730, 304549, 533674), (-25129, 234822, 441764, 723098)]",214.0,reasoning,18668034.0,SubTSP‑18668034
538.01,18668034,"[(850000, 1096560, 650000, 1106815)]",113.0,fast_thinking,18668034.0,SubTSP‑18668034
560.5,18668034,"[(961492, 975545, 130296, 974579), (-64817, 92907, 980373, 1072372)]",44.0,fast_thinking,18668034.0,SubTSP‑18668034
627.49,18668034,"[(0, 450000, 450000, 900000), (0, 650000, 0, 400000)]",392.0,fast_thinking,18668034.0,SubTSP‑18668034
652.92,18668034,"[(700000, 1096560, 520001, 1106815), (700000, 1096560, 0, 520000)]",398.0,fast_thinking,18668034.0,SubTSP‑18668034
653.57,18668034,"[(827520, 966637, 848716, 893119), (88675, 692827, 332444, 951622)]",186.0,reasoning,18668034.0,SubTSP‑18668034
710.91,18668034,"[(0, 360000, 560000, 920000), (780000, 1050000, 520000, 920000)]",253.0,fast_thinking,18668034.0,SubTSP‑18668034
725.03,18668034,"[(680000, 980000, 180000, 500000)]",142.0,fast_thinking,18668034.0,SubTSP‑18668034
731.02,18668034,"[(966637, 1096560, 893119, 1106815)]",24.0,reasoning,18668034.0,SubTSP‑18668034
802.37,18668034,"[(782447, 944662, 871663, 930894), (980800, 1017276, 383945, 697963)]",38.0,fast_thinking,18668034.0,SubTSP‑18668034
908.73,18668034,"[(-124839, 674397, 572446, 664033), (643209, 1016924, 225423, 666502)]",313.0,reasoning,18668034.0,SubTSP‑18668034
944.33,18668034,"[(405000, 760000, 200000, 700000), (760001, 1096560, 200000, 1106815)]",533.0,fast_thinking,18668034.0,SubTSP‑18668034
988.62,18668034,"[(100000, 650000, 200000, 650000)]",133.0,fast_thinking,18668034.0,SubTSP‑18668034
991.82,18668034,"[(760000, 1096560, 760000, 1106815)]",96.0,reasoning,18668034.0,SubTSP‑18668034
