latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
3.51,22305,,,LKH,,
32.17,22295,"[(1500, 2500, 1000, 2000)]",314.0,reasoning,22305.0,SubTSP‑22305
73.28,22290,"[(1200, 1800, 1200, 1800)]",404.0,fast_thinking,22305.0,SubTSP‑22295
121.15,22290,"[(700, 1300, 800, 1400)]",134.0,fast_thinking,22295.0,SubTSP‑22290
141.44,22277,"[(800, 1400, 1000, 1600)]",273.0,reasoning,22290.0,SubTSP‑22290
283.91,22272,"[(1000, 1600, 1000, 1600)]",389.0,reasoning,22290.0,SubTSP‑22277
329.09,22272,"[(500, 1100, 500, 1100)]",62.0,fast_thinking,22272.0,SubTSP‑22272
420.73,22266,"[(1000, 1600, 700, 1300)]",406.0,reasoning,22272.0,SubTSP‑22272
444.55,22266,"[(1000, 1600, 800, 1400)]",286.0,fast_thinking,22272.0,SubTSP‑22266
485.99,22266,"[(1000, 1600, 500, 1100)]",195.0,fast_thinking,22266.0,SubTSP‑22266
570.74,22266,"[(1000, 1600, 1000, 1600)]",389.0,reasoning,22272.0,SubTSP‑22266
588.17,22266,"[(1500, 2264, 1000, 2237)]",403.0,fast_thinking,22266.0,SubTSP‑22266
606.51,22266,"[(1500, 2000, 1500, 2000)]",14.0,reasoning,22266.0,SubTSP‑22266
681.61,22251,"[(1200, 1800, 1000, 1600)]",496.0,fast_thinking,22266.0,SubTSP‑22266
717.4,22251,"[(1439, 1493, 937, 1302)]",35.0,fast_thinking,22266.0,SubTSP‑22251
773.25,22251,"[(500, 1100, 1000, 1600)]",156.0,fast_thinking,22251.0,SubTSP‑22251
796.11,22251,"[(1200, 1800, 1200, 1800)]",404.0,reasoning,22251.0,SubTSP‑22251
879.25,22251,"[(500, 1100, 700, 1300)]",86.0,fast_thinking,22251.0,SubTSP‑22251
