latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
37.7,564699,,,LKH,,
76.43,564256,"[(9000, 15000, 11500, 13700)]",493.0,fast_thinking,564699.0,SubTSP‑564699
79.81,564248,"[(9500, 11500, 11900, 13230), (2650, 4400, 9400, 11510)]",188.0,fast_thinking,564699.0,SubTSP‑564256
80.43,564248,"[(4000, 11000, 11800, 13700), (3000, 9000, 4300, 6300)]",597.0,fast_thinking,564699.0,SubTSP‑564248
89.1,564248,"[(8000, 12000, 7000, 9000), (14000, 18000, 9000, 13000)]",780.0,reasoning,564699.0,SubTSP‑564248
110.01,563959,"[(2350, 7150, 7150, 8750)]",235.0,fast_thinking,564248.0,SubTSP‑564248
116.0,563575,"[(15000, 20000, 4000, 7000), (2000, 7000, 13700, 15600)]",430.0,fast_thinking,564248.0,SubTSP‑563959
121.42,563368,"[(16000, 21853, 4000, 9000)]",480.0,reasoning,564248.0,SubTSP‑563575
133.03,563251,"[(8700, 12800, 4200, 5900), (12000, 18500, 13500, 15600)]",480.0,fast_thinking,563959.0,SubTSP‑563368
140.56,563165,"[(1000, 4000, 4000, 7000), (0, 4000, 9000, 12500)]",416.0,reasoning,563959.0,SubTSP‑563251
162.86,562612,"[(12600, 16650, 10360, 11350), (8500, 14500, 4650, 6350)]",422.0,fast_thinking,563368.0,SubTSP‑563165
163.48,562612,"[(4800, 9000, 7700, 9100), (9300, 13700, 7200, 8800)]",567.0,fast_thinking,563165.0,SubTSP‑562612
177.23,562397,"[(7000, 10500, 8800, 11000), (7000, 12000, 6400, 6850)]",418.0,fast_thinking,563165.0,SubTSP‑562612
182.38,562395,"[(14000, 19000, 11000, 13500), (3000, 7000, 12000, 15000)]",419.0,fast_thinking,562612.0,SubTSP‑562397
194.24,562395,"[(4000, 9500, 9100, 10400), (9000, 12000, 12000, 13900)]",537.0,reasoning,563165.0,SubTSP‑562395
196.86,562395,"[(1000, 6000, 3200, 7400), (15500, 20500, 3200, 7800)]",634.0,fast_thinking,562395.0,SubTSP‑562395
203.84,562395,"[(14500, 19000, 4000, 7500), (1700, 5700, 10400, 13700)]",572.0,fast_thinking,562395.0,SubTSP‑562395
231.36,562387,"[(15500, 20500, 8000, 10000)]",257.0,reasoning,562395.0,SubTSP‑562395
244.24,562369,"[(10780, 13230, 4400, 6800)]",230.0,fast_thinking,562395.0,SubTSP‑562387
287.69,561796,"[(11250, 15300, 4080, 7140)]",458.0,fast_thinking,562395.0,SubTSP‑562369
291.21,561796,"[(9600, 12600, 8700, 10700), (6400, 10900, 6000, 8100)]",591.0,fast_thinking,562387.0,SubTSP‑561796
293.03,561796,"[(8500, 10900, 7960, 9200), (11500, 14500, 9700, 13400)]",530.0,fast_thinking,562369.0,SubTSP‑561796
313.77,561796,"[(5409, 9000, 9600, 12171), (12500, 15500, 8500, 11500)]",624.0,fast_thinking,562369.0,SubTSP‑561796
350.85,561796,"[(3000, 12000, 13000, 15000)]",342.0,reasoning,561796.0,SubTSP‑561796
361.04,561724,"[(5480, 11720, 3950, 4750)]",183.0,fast_thinking,561796.0,SubTSP‑561796
373.84,561724,"[(15000, 19000, 4000, 7000), (2000, 5000, 4000, 7000)]",419.0,fast_thinking,561724.0,SubTSP‑561724
381.71,561724,"[(14500, 18500, 4000, 7500), (200, 3500, 11600, 13700)]",461.0,fast_thinking,561724.0,SubTSP‑561724
402.26,561678,"[(4500, 9000, 4650, 7440)]",406.0,fast_thinking,561724.0,SubTSP‑561724
429.41,561597,"[(11500, 15000, 9600, 12000)]",348.0,fast_thinking,561678.0,SubTSP‑561678
435.77,561494,"[(9250, 13450, 7440, 8370), (14500, 19000, 12900, 15400)]",359.0,fast_thinking,561678.0,SubTSP‑561597
442.91,561244,"[(3500, 8000, 9600, 12000)]",282.0,fast_thinking,561597.0,SubTSP‑561494
487.12,561213,"[(8000, 11300, 8500, 12000)]",454.0,fast_thinking,561244.0,SubTSP‑561244
