latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
3.51,22305,,,LKH,,
52.39,22255,"[(1000, 1800, 1100, 1600), (300, 1200, 1650, 2000)]",613.0,fast_thinking,22305.0,SubTSP‑22305
58.01,22251,"[(200, 1850, 0, 350), (700, 1250, 650, 1050)]",280.0,fast_thinking,22305.0,SubTSP‑22255
162.55,22251,"[(50, 1900, 1700, 2000), (50, 1900, 1100, 1600)]",913.0,fast_thinking,22305.0,SubTSP‑22251
172.9,22249,"[(1200, 1900, 0, 1099)]",237.0,fast_thinking,22251.0,SubTSP‑22251
177.49,22249,"[(200, 1800, 1300, 2000), (200, 1800, 0, 1299)]",1291.0,fast_thinking,22251.0,SubTSP‑22249
245.21,22249,"[(950, 1800, 1700, 2000), (200, 1500, 1200, 1500)]",388.0,fast_thinking,22249.0,SubTSP‑22249
271.74,22249,"[(1000, 1950, 400, 1199), (200, 900, 0, 700)]",449.0,fast_thinking,22249.0,SubTSP‑22249
286.59,22249,"[(1373, 1936, 498, 852), (1150, 1800, 1200, 1600)]",471.0,fast_thinking,22249.0,SubTSP‑22249
416.2,22249,"[(1401, 2000, 1750, 2000)]",2.0,fast_thinking,22249.0,SubTSP‑22249
488.42,22249,"[(1127, 1242, 890, 1007), (2014, 2028, 878, 1514)]",8.0,fast_thinking,22249.0,SubTSP‑22249
507.91,22249,"[(900, 1600, 1750, 1970), (1100, 1800, 1220, 1500)]",537.0,fast_thinking,22249.0,SubTSP‑22249
530.8,22249,"[(200, 880, 1680, 1980), (920, 1500, 700, 1180)]",259.0,fast_thinking,22249.0,SubTSP‑22249
595.05,22249,"[(438, 1750, 870, 1495), (438, 1750, 0, 580)]",787.0,reasoning,22249.0,SubTSP‑22249
597.31,22249,"[(600, 1600, 1500, 2000), (50, 900, 0, 599)]",301.0,fast_thinking,22249.0,SubTSP‑22249
604.78,22249,"[(438, 1750, 580, 870), (438, 1750, 1495, 1896)]",342.0,reasoning,22249.0,SubTSP‑22249
653.01,22249,"[(900, 1900, 1100, 1490), (1327, 1692, 1905, 2003)]",602.0,fast_thinking,22249.0,SubTSP‑22249
723.59,22249,"[(850, 1800, 1250, 1550), (200, 1400, 350, 1050)]",549.0,fast_thinking,22249.0,SubTSP‑22249
767.25,22249,"[(700, 1399, 750, 1500), (50, 650, 0, 600)]",423.0,fast_thinking,22249.0,SubTSP‑22249
825.27,22249,"[(200, 1800, 1700, 2000), (700, 1800, 650, 1149)]",377.0,fast_thinking,22249.0,SubTSP‑22249
829.37,22249,"[(438, 1750, 561, 884), (438, 1750, 1421, 1896)]",496.0,reasoning,22249.0,SubTSP‑22249
850.28,22249,"[(400, 1700, 1250, 1500), (1400, 2000, 0, 600)]",377.0,fast_thinking,22249.0,SubTSP‑22249
867.8,22249,"[(200, 1600, 1800, 1995), (100, 950, 0, 350)]",227.0,fast_thinking,22249.0,SubTSP‑22249
884.42,22249,"[(100, 1700, 1200, 1500), (400, 1750, 400, 1000)]",636.0,fast_thinking,22249.0,SubTSP‑22249
908.51,22249,"[(200, 1650, 1700, 1990), (368, 1989, 757, 830)]",284.0,fast_thinking,22249.0,SubTSP‑22249
991.2,22249,"[(200, 690, 600, 1400), (1200, 2000, 0, 350)]",124.0,fast_thinking,22249.0,SubTSP‑22249
