latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
1.08,18691646,,,LKH,,
10.25,18691646,"[(700000, 1208020, 650000, 1216161)]",113.0,fast_thinking,18691646.0,SubTSP‑18691646
24.48,18680413,"[(400000, 950000, 0, 600000)]",410.0,fast_thinking,18691646.0,SubTSP‑18691646
25.71,18680413,"[(200000, 600000, 0, 300000)]",190.0,reasoning,18691646.0,SubTSP‑18680413
30.14,18673494,"[(0, 650000, 650000, 1216161)]",212.0,fast_thinking,18691646.0,SubTSP‑18680413
48.38,18668034,"[(600000, 1208020, 0, 600000)]",344.0,fast_thinking,18680413.0,SubTSP‑18673494
48.82,18668034,"[(700000, 1200000, 350000, 750000)]",239.0,reasoning,18680413.0,SubTSP‑18668034
50.93,18668034,"[(0, 400000, 0, 600000), (950000, 1208020, 0, 650000)]",194.0,fast_thinking,18673494.0,SubTSP‑18668034
71.38,18668034,"[(0, 400000, 300000, 950000), (600000, 1208020, 300000, 650000)]",447.0,fast_thinking,18668034.0,SubTSP‑18668034
75.86,18668034,"[(100000, 232000, 800000, 1100000), (200000, 350000, 350000, 650000)]",4.0,reasoning,18668034.0,SubTSP‑18668034
88.15,18668034,"[(350000, 600000, 300000, 650000), (800000, 1208020, 700000, 1216161)]",143.0,reasoning,18668034.0,SubTSP‑18668034
99.5,18668034,"[(400000, 950000, 700000, 1216161), (400000, 950000, 0, 300000)]",235.0,fast_thinking,18668034.0,SubTSP‑18668034
119.17,18668034,"[(850000, 1208020, 410000, 950000)]",219.0,reasoning,18668034.0,SubTSP‑18668034
152.28,18668034,"[(400000, 950000, 300000, 700000)]",254.0,reasoning,18668034.0,SubTSP‑18668034
156.79,18668034,"[(-63144, 184095, 754514, 900519), (754178, 930413, 749486, 927072)]",29.0,fast_thinking,18668034.0,SubTSP‑18668034
162.85,18668034,"[(0, 350000, 0, 350000), (950000, 1208020, 0, 410000)]",120.0,fast_thinking,18668034.0,SubTSP‑18668034
163.26,18668034,"[(395852, 843815, 360642, 775799), (627986, 720839, 585342, 1043853)]",124.0,reasoning,18668034.0,SubTSP‑18668034
168.34,18668034,"[(184095, 400000, 600000, 900000), (600000, 850000, 300000, 700000)]",184.0,fast_thinking,18668034.0,SubTSP‑18668034
173.6,18668034,"[(0, 400000, 900000, 1216161)]",89.0,fast_thinking,18668034.0,SubTSP‑18668034
179.28,18668034,"[(400000, 950000, 900000, 1216161)]",35.0,fast_thinking,18668034.0,SubTSP‑18668034
184.16,18668034,"[(950000, 1208020, 835422, 1216161)]",44.0,reasoning,18668034.0,SubTSP‑18668034
185.18,18668034,"[(400000, 950000, 0, 300000)]",170.0,fast_thinking,18668034.0,SubTSP‑18668034
197.18,18668034,"[(870000, 1208020, 420000, 830000), (0, 350000, 360000, 710000)]",201.0,fast_thinking,18668034.0,SubTSP‑18668034
203.04,18668034,"[(350000, 870000, 0, 350000), (400000, 950000, 775800, 900000)]",245.0,fast_thinking,18668034.0,SubTSP‑18668034
207.9,18668034,"[(0, 400000, 0, 350000), (950000, 1208020, 0, 420000)]",130.0,fast_thinking,18668034.0,SubTSP‑18668034
212.97,18668034,"[(350000, 870000, 360000, 830000), (0, 400000, 710000, 900000)]",186.0,fast_thinking,18668034.0,SubTSP‑18668034
218.47,18668034,"[(890000, 1208020, 850000, 1216161), (0, 390000, 900000, 1216161)]",134.0,fast_thinking,18668034.0,SubTSP‑18668034
219.46,18668034,"[(900000, 1208020, 200000, 450000), (100000, 300000, 800000, 1000000)]",106.0,reasoning,18668034.0,SubTSP‑18668034
224.33,18668034,"[(400000, 870000, 0, 350000), (400000, 870000, 900000, 1216161)]",242.0,fast_thinking,18668034.0,SubTSP‑18668034
236.32,18668034,"[(0, 390000, 0, 350000), (900000, 1208020, 0, 190000)]",76.0,fast_thinking,18668034.0,SubTSP‑18668034
243.02,18668034,"[(400000, 870000, 360000, 830000), (0, 390000, 360000, 700000)]",173.0,fast_thinking,18668034.0,SubTSP‑18668034
249.09,18668034,"[(880000, 1208020, 460000, 840000), (0, 390000, 0, 350000)]",210.0,fast_thinking,18668034.0,SubTSP‑18668034
262.9,18668034,"[(420000, 870000, 840000, 1216161), (420000, 870000, 360000, 710000)]",154.0,fast_thinking,18668034.0,SubTSP‑18668034
275.68,18668034,"[(400000, 870000, 0, 350000), (400000, 870000, 840000, 1216161)]",245.0,fast_thinking,18668034.0,SubTSP‑18668034
281.98,18668034,"[(880000, 1208020, 850000, 1216161), (0, 390000, 710000, 1216161)]",191.0,fast_thinking,18668034.0,SubTSP‑18668034
288.69,18668034,"[(880000, 1208020, 0, 450000), (0, 390000, 360000, 700000)]",142.0,fast_thinking,18668034.0,SubTSP‑18668034
289.71,18668034,"[(850000, 1208020, 0, 350000)]",55.0,reasoning,18668034.0,SubTSP‑18668034
294.61,18668034,"[(400000, 870000, 360000, 830000), (0, 390000, 0, 350000)]",205.0,fast_thinking,18668034.0,SubTSP‑18668034
320.02,18668034,"[(400000, 870000, 360000, 830000), (0, 390000, 0, 350000)]",205.0,fast_thinking,18668034.0,SubTSP‑18668034
332.01,18668034,"[(400000, 870000, 0, 350000), (400000, 870000, 900000, 1216161)]",242.0,fast_thinking,18668034.0,SubTSP‑18668034
338.49,18668034,"[(400000, 870000, 360000, 890000), (0, 390000, 0, 700000)]",251.0,fast_thinking,18668034.0,SubTSP‑18668034
344.99,18668034,"[(880000, 1208020, 460000, 1216161), (0, 390000, 710000, 1216161)]",329.0,fast_thinking,18668034.0,SubTSP‑18668034
352.09,18668034,"[(400000, 870000, 0, 350000), (400000, 870000, 360000, 890000)]",345.0,fast_thinking,18668034.0,SubTSP‑18668034
356.35,18668034,"[(880000, 1208020, 0, 450000), (0, 390000, 710000, 1216161)]",238.0,fast_thinking,18668034.0,SubTSP‑18668034
361.42,18668034,"[(880000, 1208020, 460000, 890000), (0, 390000, 360000, 700000)]",197.0,fast_thinking,18668034.0,SubTSP‑18668034
368.12,18668034,"[(400000, 870000, 900000, 1216161), (400000, 870000, 0, 350000)]",242.0,fast_thinking,18668034.0,SubTSP‑18668034
373.39,18668034,"[(0, 390000, 0, 350000), (880000, 1208020, 0, 450000)]",174.0,fast_thinking,18668034.0,SubTSP‑18668034
378.26,18668034,"[(400000, 870000, 900000, 1216161), (880000, 1208020, 900000, 1216161)]",63.0,fast_thinking,18668034.0,SubTSP‑18668034
383.75,18668034,"[(0, 390000, 0, 350000), (400000, 870000, 360000, 890000)]",208.0,fast_thinking,18668034.0,SubTSP‑18668034
425.68,18668034,"[(0, 390000, 900000, 1216161), (880000, 1208020, 900000, 1216161)]",117.0,fast_thinking,18668034.0,SubTSP‑18668034
438.17,18668034,"[(400000, 870000, 0, 350000), (400000, 870000, 900000, 1216161)]",242.0,fast_thinking,18668034.0,SubTSP‑18668034
443.44,18668034,"[(0, 390000, 360000, 890000), (880000, 1208020, 460000, 890000)]",255.0,fast_thinking,18668034.0,SubTSP‑18668034
457.06,18668034,"[(400000, 870000, 460000, 890000), (880000, 1208020, 460000, 890000)]",240.0,fast_thinking,18668034.0,SubTSP‑18668034
462.54,18668034,"[(880000, 1208020, 0, 450000), (400000, 870000, 360000, 890000)]",232.0,fast_thinking,18668034.0,SubTSP‑18668034
467.83,18668034,"[(0, 390000, 0, 350000), (880000, 1208020, 900000, 1216161)]",108.0,fast_thinking,18668034.0,SubTSP‑18668034
480.02,18668034,"[(400000, 870000, 0, 350000), (880000, 1208020, 0, 450000)]",311.0,fast_thinking,18668034.0,SubTSP‑18668034
485.51,18668034,"[(0, 390000, 900000, 1216161), (400000, 870000, 900000, 1216161)]",114.0,fast_thinking,18668034.0,SubTSP‑18668034
