latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
58.73,23454172,,,LKH,,
71.71,23447911,"[(125586, 313965, 324438, 594797), (125586, 313965, 0, 270365)]",442.0,fast_thinking,23454172.0,SubTSP‑23454172
75.8,23447518,"[(125586, 313965, 54072, 324438), (313965, 502344, 324438, 540730)]",352.0,fast_thinking,23454172.0,SubTSP‑23447911
102.09,23427491,"[(370000, 565000, 0, 540000), (60000, 250000, 0, 540000)]",1588.0,reasoning,23454172.0,SubTSP‑23447518
144.71,23427491,"[(198938, 362973, 456877, 512630), (570638, 587326, 55783, 532016)]",642.0,reasoning,23447911.0,SubTSP‑23427491
150.01,23421373,"[(134295, 576291, 366589, 481135), (104331, 118571, 113021, 526481)]",321.0,fast_thinking,23447518.0,SubTSP‑23427491
168.76,23421373,"[(0, 60000, 0, 54000), (616283, 622976, 264601, 398110)]",460.0,fast_thinking,23427491.0,SubTSP‑23421373
221.32,23416399,"[(618000, 627500, 50000, 400000)]",614.0,fast_thinking,23421373.0,SubTSP‑23421373
246.01,23416399,"[(620000, 649922, 5408, 589395)]",964.0,fast_thinking,23421373.0,SubTSP‑23416399
278.48,23415942,"[(580272, 593500, 54000, 475849), (582400, 585600, 5400, 291600)]",973.0,fast_thinking,23416399.0,SubTSP‑23416399
296.27,23415942,"[(36000, 60000, 200000, 540000), (348132, 614602, 371302, 423730)]",1180.0,fast_thinking,23416399.0,SubTSP‑23415942
312.88,23402203,"[(313965, 502344, 0, 324438), (582000, 589000, 80000, 490000)]",770.0,reasoning,23421373.0,SubTSP‑23415942
324.44,23394930,"[(370000, 565000, 0, 594797)]",735.0,reasoning,23416399.0,SubTSP‑23402203
345.92,23394400,"[(12560, 37680, 0, 654276), (593501, 616282, 423731, 535320)]",741.0,reasoning,23415942.0,SubTSP‑23394930
366.32,23391871,"[(43000, 62790, 0, 540730), (160946, 221061, 300153, 480619)]",661.0,fast_thinking,23394400.0,SubTSP‑23394400
368.38,23391871,"[(0, 63800, 535320, 654276), (568929, 580000, 0, 535320)]",181.0,reasoning,23394930.0,SubTSP‑23391871
387.82,23390009,"[(45000, 62172, 0, 540730)]",397.0,fast_thinking,23394400.0,SubTSP‑23391871
412.23,23387904,"[(62793, 565137, 270365, 594797)]",844.0,reasoning,23391871.0,SubTSP‑23390009
417.64,23387904,"[(250000, 370000, 0, 594797), (358092, 487169, 266917, 293747)]",63.0,reasoning,23391871.0,SubTSP‑23387904
443.09,23385589,"[(37000, 43000, 0, 540730)]",677.0,fast_thinking,23391871.0,SubTSP‑23387904
455.7,23385589,"[(436017, 570005, 405746, 455664), (194351, 285195, 537456, 540085)]",83.0,reasoning,23387904.0,SubTSP‑23385589
473.01,23383904,"[(577760, 609160, 97000, 389328)]",758.0,fast_thinking,23387904.0,SubTSP‑23385589
502.1,23383904,"[(62793, 188379, 0, 594797), (313965, 502344, 0, 594797)]",1098.0,reasoning,23385589.0,SubTSP‑23383904
570.62,23381964,"[(584000, 615000, 54000, 490000), (581765, 590975, 5408, 340662)]",1032.0,fast_thinking,23383904.0,SubTSP‑23383904
596.0,23378844,"[(18844, 552399, 207191, 337192)]",929.0,fast_thinking,23383904.0,SubTSP‑23381964
621.39,23378844,"[(382934, 419785, 394209, 506390), (565200, 584000, 54000, 490000)]",509.0,fast_thinking,23381964.0,SubTSP‑23378844
667.66,23378844,"[(586000, 622000, 90000, 305000)]",518.0,fast_thinking,23378844.0,SubTSP‑23378844
697.8,23378844,"[(125586, 313965, 0, 594797), (313966, 565137, 0, 594797)]",1230.0,reasoning,23378844.0,SubTSP‑23378844
744.51,23375519,"[(43000, 62790, 0, 540730)]",609.0,fast_thinking,23378844.0,SubTSP‑23378844
