latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
37.7,564699,,,LKH,,
49.94,564090,"[(10800, 16200, 7000, 11500)]",913.0,fast_thinking,564699.0,SubTSP‑564699
66.28,564054,"[(15900, 20300, 5100, 8200)]",283.0,reasoning,564699.0,SubTSP‑564090
69.95,563801,"[(2000, 7200, 4200, 9500)]",768.0,reasoning,564090.0,SubTSP‑564054
73.56,563537,"[(12000, 20000, 11500, 15698)]",622.0,reasoning,564090.0,SubTSP‑563801
77.22,563537,"[(2000, 7400, 4200, 9800), (10400, 12800, 7550, 10250)]",1111.0,fast_thinking,564090.0,SubTSP‑563537
102.75,563246,"[(9160, 12800, 7200, 10400)]",453.0,fast_thinking,563537.0,SubTSP‑563537
108.62,563152,"[(10800, 16200, 9600, 13600)]",793.0,fast_thinking,563537.0,SubTSP‑563246
164.8,563141,"[(9000, 15000, 12000, 14470), (15500, 21049, 3500, 7800)]",827.0,reasoning,563537.0,SubTSP‑563152
169.75,562790,"[(2400, 7600, 5200, 9200)]",619.0,fast_thinking,563152.0,SubTSP‑563141
174.51,562361,"[(8400, 11400, 8700, 11200), (15000, 21049, 3000, 7000)]",589.0,reasoning,563152.0,SubTSP‑562790
231.59,562093,"[(13200, 20000, 3600, 7600)]",593.0,reasoning,563152.0,SubTSP‑562361
326.12,561814,"[(6860, 15740, 12000, 16227)]",717.0,reasoning,562361.0,SubTSP‑562093
366.08,561814,"[(200, 7600, 9000, 14000), (14000, 21049, 4000, 9000)]",1594.0,reasoning,562361.0,SubTSP‑561814
430.71,561814,"[(2200, 7600, 6400, 10200), (9800, 15000, 5400, 9600)]",1554.0,fast_thinking,563537.0,SubTSP‑561814
432.28,561769,"[(8200, 13200, 7800, 10600)]",537.0,reasoning,562093.0,SubTSP‑561814
448.89,561701,"[(2000, 7600, 8600, 13000)]",655.0,reasoning,562093.0,SubTSP‑561769
477.17,561392,"[(8200, 13200, 10800, 15698)]",642.0,reasoning,562093.0,SubTSP‑561701
480.91,561392,"[(2000, 8200, 8600, 12600), (8800, 15000, 9500, 13600)]",1684.0,reasoning,561814.0,SubTSP‑561392
491.05,561392,"[(200, 7800, 3600, 7600), (8800, 15000, 11600, 15698)]",1248.0,reasoning,561814.0,SubTSP‑561392
495.77,561392,"[(8600, 15000, 8400, 11600), (15000, 21049, 3000, 6400)]",1018.0,reasoning,561814.0,SubTSP‑561392
502.78,561286,"[(200, 8200, 3800, 8800)]",945.0,reasoning,561814.0,SubTSP‑561392
522.64,561286,"[(8600, 21049, 11600, 15698)]",951.0,reasoning,561814.0,SubTSP‑561286
543.96,560741,"[(8200, 13200, 9800, 12800), (14500, 21049, 3500, 7600)]",981.0,reasoning,561392.0,SubTSP‑561286
564.09,560741,"[(200, 7200, 4200, 9000), (9000, 15000, 10800, 15698)]",1594.0,reasoning,561392.0,SubTSP‑560741
615.88,560521,"[(200, 7600, 3000, 4200), (7200, 13000, 9000, 12600)]",859.0,reasoning,561701.0,SubTSP‑560741
618.57,560481,"[(14500, 21049, 7600, 11200)]",526.0,reasoning,560741.0,SubTSP‑560521
745.22,560481,"[(1000, 7200, 4200, 9800), (12000, 20000, 3600, 7600)]",1721.0,fast_thinking,562093.0,SubTSP‑560481
757.63,560038,"[(200, 7600, 9000, 14000)]",793.0,reasoning,560481.0,SubTSP‑560481
800.73,560038,"[(7600, 13200, 6200, 9600), (13200, 21049, 12000, 15698)]",1197.0,reasoning,560481.0,SubTSP‑560038
807.6,560038,"[(200, 7600, 9600, 14000), (12800, 21049, 8000, 12000)]",1349.0,reasoning,560481.0,SubTSP‑560038
827.7,559978,"[(8600, 15000, 7600, 11200)]",838.0,reasoning,560038.0,SubTSP‑560038
865.2,559978,"[(200, 7600, 4200, 9000), (13200, 21049, 3600, 7600)]",1430.0,reasoning,560038.0,SubTSP‑559978
1037.88,559978,"[(200, 7600, 3000, 7600), (7600, 13200, 3000, 7600)]",1377.0,reasoning,559978.0,SubTSP‑559978
1070.16,559928,"[(200, 7600, 4200, 9000)]",837.0,reasoning,559978.0,SubTSP‑559978
1071.96,559849,"[(7600, 13200, 9600, 13600)]",816.0,reasoning,559978.0,SubTSP‑559928
1075.8,559849,"[(200, 7400, 9600, 14000), (13800, 21049, 6400, 9600)]",1132.0,reasoning,559978.0,SubTSP‑559849
1121.69,559849,"[(7600, 13200, 10600, 15698), (13200, 21049, 7600, 12000)]",1595.0,reasoning,560038.0,SubTSP‑559849
1206.73,559567,"[(13200, 21049, 3600, 9000)]",956.0,reasoning,559978.0,SubTSP‑559849
1231.33,559552,"[(200, 7400, 3000, 6200), (8200, 13200, 11200, 15698)]",889.0,reasoning,559978.0,SubTSP‑559567
1234.82,559369,"[(7600, 11200, 6200, 9000), (11200, 15000, 9000, 12000)]",871.0,reasoning,559978.0,SubTSP‑559552
1249.64,559369,"[(7400, 9800, 6200, 9600), (11200, 14500, 9600, 12000)]",713.0,reasoning,559978.0,SubTSP‑559369
