latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
4.4,80883,,,LKH,,
71.82,80883,"[(1360, 2550, 1000, 2000)]",300.0,fast_thinking,80883.0,SubTSP‑80883
127.0,80883,"[(2250, 3450, 1500, 3000)]",450.0,reasoning,80883.0,SubTSP‑80883
228.15,80875,"[(1700, 3000, 1200, 3200)]",500.0,reasoning,80883.0,SubTSP‑80883
242.92,80875,"[(1800, 3000, 1200, 3400)]",493.0,fast_thinking,80883.0,SubTSP‑80875
335.19,80875,"[(1200, 2400, 1000, 2400)]",420.0,fast_thinking,80875.0,SubTSP‑80875
344.86,80875,"[(1200, 2400, 1200, 2400)]",360.0,reasoning,80883.0,SubTSP‑80875
382.25,80875,"[(1000, 2000, 1000, 2000)]",270.0,fast_thinking,80875.0,SubTSP‑80875
397.71,80875,"[(1000, 2200, 1000, 2000)]",320.0,reasoning,80875.0,SubTSP‑80875
637.93,80875,"[(1400, 2600, 1400, 2600)]",360.0,reasoning,80875.0,SubTSP‑80875
733.43,80875,"[(1000, 2000, 1000, 2000)]",270.0,fast_thinking,80875.0,SubTSP‑80875
884.77,80875,"[(1000, 2000, 0, 1000)]",69.0,fast_thinking,80875.0,SubTSP‑80875
975.06,80875,"[(0, 1000, 0, 1000)]",23.0,fast_thinking,80875.0,SubTSP‑80875
1015.33,80875,"[(0, 1000, 0, 1000)]",23.0,fast_thinking,80875.0,SubTSP‑80875
1057.13,80875,"[(1700, 3000, 1000, 3000)]",500.0,fast_thinking,80875.0,SubTSP‑80875
1092.22,80875,"[(0, 1000, 0, 1000)]",23.0,fast_thinking,80875.0,SubTSP‑80875
1211.61,80875,"[(2000, 3000, 1600, 2800)]",216.0,fast_thinking,80875.0,SubTSP‑80875
1255.48,80875,"[(0, 1000, 0, 1000)]",23.0,fast_thinking,80875.0,SubTSP‑80875
1479.25,80875,"[(2000, 3400, 1000, 2200)]",408.0,reasoning,80875.0,SubTSP‑80875
1486.43,80875,"[(0, 1000, 0, 1000)]",23.0,fast_thinking,80875.0,SubTSP‑80875
1504.17,80875,"[(0, 1000, 0, 1000)]",23.0,reasoning,80875.0,SubTSP‑80875
1562.92,80875,"[(1500, 3000, 1500, 3000)]",450.0,fast_thinking,80875.0,SubTSP‑80875
2172.38,80863,"[(1000, 2200, 1400, 2400)]",320.0,reasoning,80875.0,SubTSP‑80875
2212.64,80833,"[(0, 1500, 0, 1500)]",175.0,reasoning,80875.0,SubTSP‑80863
2302.39,80833,"[(1000, 2000, 1000, 2000)]",270.0,fast_thinking,80875.0,SubTSP‑80833
2321.17,80833,"[(1000, 2000, 1200, 2200)]",270.0,reasoning,80863.0,SubTSP‑80833
2478.16,80833,"[(1500, 3000, 0, 1500)]",218.0,reasoning,80833.0,SubTSP‑80833
2517.01,80833,"[(0, 1000, 0, 2000)]",90.0,reasoning,80833.0,SubTSP‑80833
2950.19,80833,"[(1000, 2200, 1000, 2200)]",384.0,fast_thinking,80833.0,SubTSP‑80833
2970.71,80833,"[(1200, 2400, 1200, 2400)]",360.0,reasoning,80833.0,SubTSP‑80833
3009.55,80810,"[(0, 1500, 600, 2500)]",378.0,fast_thinking,80833.0,SubTSP‑80833
3098.03,80810,"[(0, 1000, 600, 3000)]",157.0,reasoning,80810.0,SubTSP‑80810
3261.35,80810,"[(1600, 3000, 1400, 2600)]",336.0,reasoning,80810.0,SubTSP‑80810
3306.96,80810,"[(0, 1500, 1000, 3000)]",430.0,reasoning,80810.0,SubTSP‑80810
3319.01,80810,"[(1500, 3000, 1500, 3000)]",450.0,fast_thinking,80833.0,SubTSP‑80810
3501.87,80810,"[(1600, 3000, 1600, 3000)]",392.0,reasoning,80810.0,SubTSP‑80810
3589.19,80810,"[(1000, 2000, 1000, 2000)]",270.0,reasoning,80810.0,SubTSP‑80810
3658.31,80810,"[(1200, 2400, 1000, 2000)]",300.0,fast_thinking,80810.0,SubTSP‑80810
3726.96,80810,"[(0, 1500, 0, 1500)]",175.0,reasoning,80810.0,SubTSP‑80810
3798.99,80810,"[(0, 1000, 0, 1500)]",62.0,fast_thinking,80810.0,SubTSP‑80810
3951.41,80810,"[(1600, 3000, 1600, 3000)]",392.0,reasoning,80810.0,SubTSP‑80810
4011.66,80810,"[(1600, 3000, 1600, 3000)]",392.0,fast_thinking,80810.0,SubTSP‑80810
4061.08,80810,"[(0, 1000, 0, 3500)]",183.0,fast_thinking,80810.0,SubTSP‑80810
4215.08,80810,"[(1600, 3000, 1400, 2600)]",336.0,fast_thinking,80810.0,SubTSP‑80810
4233.67,80810,"[(1600, 2600, 1400, 2600)]",300.0,reasoning,80810.0,SubTSP‑80810
4252.25,80810,"[(0, 1000, 0, 3500)]",183.0,fast_thinking,80810.0,SubTSP‑80810
4452.96,80810,"[(1200, 2400, 1200, 2400)]",360.0,fast_thinking,80810.0,SubTSP‑80810
4635.44,80810,"[(1600, 3000, 1200, 2800)]",448.0,reasoning,80810.0,SubTSP‑80810
