latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
3.51,22305,,,LKH,,
11.55,22305,"[(159, 704, 1140, 1510), (1450, 2000, 1520, 1910)]",74.0,fast_thinking,22305.0,SubTSP‑22305
18.69,22305,"[(880, 1450, 190, 760), (704, 1590, 1330, 1520)]",242.0,fast_thinking,22305.0,SubTSP‑22305
22.36,22299,"[(600, 1300, 550, 850)]",120.0,reasoning,22305.0,SubTSP‑22305
25.22,22299,"[(800, 1450, 190, 760), (800, 1450, 1330, 1520)]",197.0,fast_thinking,22305.0,SubTSP‑22299
29.89,22289,"[(1500, 2100, 900, 1330)]",169.0,fast_thinking,22299.0,SubTSP‑22299
35.65,22289,"[(1600, 2264, 1520, 2237)]",86.0,fast_thinking,22299.0,SubTSP‑22289
41.94,22289,"[(352, 880, 950, 1330), (1500, 2100, 570, 900)]",95.0,fast_thinking,22289.0,SubTSP‑22289
43.57,22289,"[(159, 900, 1920, 2237), (483, 1173, 430, 1243)]",257.0,reasoning,22305.0,SubTSP‑22289
53.98,22289,"[(1200, 1590, 1340, 1900), (1000, 1590, 37, 430)]",151.0,fast_thinking,22289.0,SubTSP‑22289
59.91,22289,"[(900, 1500, 1520, 1920), (159, 900, 430, 950)]",107.0,fast_thinking,22289.0,SubTSP‑22289
68.07,22251,"[(900, 1590, 950, 1340)]",264.0,fast_thinking,22289.0,SubTSP‑22289
69.27,22249,"[(900, 1450, 1800, 2050), (1121, 1452, 1083, 1501)]",354.0,reasoning,22289.0,SubTSP‑22251
85.01,22249,"[(1590, 2264, 950, 1520), (900, 1590, 430, 950)]",429.0,reasoning,22251.0,SubTSP‑22249
92.75,22249,"[(159, 900, 1520, 2237), (1590, 2264, 1520, 2237)]",189.0,fast_thinking,22249.0,SubTSP‑22249
98.1,22249,"[(900, 1590, 1340, 1520), (900, 1590, 37, 430)]",169.0,fast_thinking,22249.0,SubTSP‑22249
105.62,22249,"[(159, 1408, 1520, 2237), (1408, 2264, 1520, 2237)]",348.0,reasoning,22249.0,SubTSP‑22249
110.9,22249,"[(900, 1590, 950, 1340), (1844, 1996, 1564, 2043)]",278.0,fast_thinking,22249.0,SubTSP‑22249
116.62,22249,"[(704, 1408, 190, 760), (1408, 2264, 190, 950)]",130.0,fast_thinking,22249.0,SubTSP‑22249
129.04,22249,"[(159, 900, 37, 760), (159, 900, 950, 1340)]",146.0,fast_thinking,22249.0,SubTSP‑22249
131.89,22249,"[(1600, 2264, 37, 570), (159, 900, 570, 1140)]",86.0,reasoning,22249.0,SubTSP‑22249
135.55,22249,"[(1590, 2264, 950, 1520), (900, 1590, 190, 950)]",429.0,fast_thinking,22249.0,SubTSP‑22249
162.88,22249,"[(900, 1590, 1520, 2237), (1590, 2264, 1520, 2237)]",245.0,fast_thinking,22249.0,SubTSP‑22249
179.91,22249,"[(900, 1590, 1340, 1520), (1590, 2264, 1520, 1910)]",158.0,fast_thinking,22249.0,SubTSP‑22249
188.51,22249,"[(159, 900, 1700, 2100), (901, 1400, 1050, 1450)]",265.0,reasoning,22249.0,SubTSP‑22249
190.97,22249,"[(352, 900, 1140, 1910), (352, 900, 190, 950)]",174.0,fast_thinking,22249.0,SubTSP‑22249
196.9,22249,"[(900, 1400, 950, 1340)]",152.0,fast_thinking,22249.0,SubTSP‑22249
232.18,22249,"[(900, 1400, 380, 950), (1400, 2264, 1340, 1910)]",355.0,fast_thinking,22249.0,SubTSP‑22249
253.83,22249,"[(1400, 2264, 190, 950), (1400, 2264, 1910, 2237)]",156.0,fast_thinking,22249.0,SubTSP‑22249
297.17,22249,"[(1050, 1700, 1100, 1350), (900, 1400, 1822, 2237)]",447.0,reasoning,22249.0,SubTSP‑22249
302.51,22249,"[(1400, 2264, 950, 1340)]",230.0,fast_thinking,22249.0,SubTSP‑22249
322.78,22249,"[(352, 900, 190, 950), (352, 900, 1340, 1910)]",128.0,fast_thinking,22249.0,SubTSP‑22249
323.69,22249,"[(1400, 2264, 951, 1339)]",230.0,reasoning,22249.0,SubTSP‑22249
329.81,22249,"[(1050, 1700, 190, 950), (900, 1400, 950, 1340)]",339.0,fast_thinking,22249.0,SubTSP‑22249
341.44,22249,"[(1400, 2264, 1340, 1910), (900, 1700, 190, 950)]",384.0,fast_thinking,22249.0,SubTSP‑22249
353.49,22249,"[(1400, 2264, 190, 950), (900, 1400, 1340, 1910)]",229.0,fast_thinking,22249.0,SubTSP‑22249
360.04,22249,"[(159, 900, 1910, 2237), (1700, 2264, 1340, 1910)]",169.0,fast_thinking,22249.0,SubTSP‑22249
368.79,22249,"[(159, 900, 950, 2237)]",243.0,reasoning,22249.0,SubTSP‑22249
382.05,22249,"[(900, 1400, 950, 1340), (159, 900, 190, 950)]",175.0,fast_thinking,22249.0,SubTSP‑22249
395.11,22249,"[(900, 2264, 1910, 2237)]",159.0,reasoning,22249.0,SubTSP‑22249
401.66,22249,"[(1400, 2264, 1140, 1340), (1680, 2041, 1137, 1401)]",308.0,fast_thinking,22249.0,SubTSP‑22249
424.52,22249,"[(1400, 2000, 1340, 1910), (159, 900, 190, 950)]",188.0,fast_thinking,22249.0,SubTSP‑22249
436.15,22249,"[(1400, 2264, 190, 950), (159, 900, 950, 1340)]",110.0,fast_thinking,22249.0,SubTSP‑22249
447.36,22249,"[(1400, 2000, 1140, 1340), (159, 900, 1340, 1910)]",336.0,fast_thinking,22249.0,SubTSP‑22249
488.52,22249,"[(900, 1400, 760, 1140), (900, 1400, 1520, 1910)]",203.0,reasoning,22249.0,SubTSP‑22249
