latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
1.6,51112,,,LKH,,
16.13,51071,"[(1980, 3960, 1532, 3064)]",415.0,fast_thinking,51112.0,SubTSP‑51112
49.97,51071,"[(0, 2000, 3064, 4500), (2000, 3960, 1532, 3500)]",432.0,fast_thinking,51071.0,SubTSP‑51071
110.69,51022,"[(0, 1980, 1500, 3064)]",407.0,fast_thinking,51112.0,SubTSP‑51071
118.23,50957,"[(200, 900, 600, 2400), (1000, 2000, 600, 2500)]",425.0,reasoning,51112.0,SubTSP‑51022
121.83,50916,"[(526, 3895, 83, 1668), (2000, 4000, 1300, 3064)]",909.0,fast_thinking,51071.0,SubTSP‑50957
193.08,50916,"[(0, 2000, 1500, 3064), (2000, 3960, 0, 1532)]",635.0,fast_thinking,51071.0,SubTSP‑50916
198.73,50916,"[(1301, 2199, 700, 900), (1301, 1980, 1300, 2800)]",271.0,reasoning,51071.0,SubTSP‑50916
221.35,50825,"[(1000, 3000, 1500, 3064), (2000, 3960, 0, 1500)]",863.0,fast_thinking,51071.0,SubTSP‑50916
226.67,50825,"[(995, 1799, 1533, 3064), (995, 1799, 0, 1532)]",407.0,reasoning,50916.0,SubTSP‑50825
304.76,50825,"[(1000, 3000, 1532, 3064), (1000, 3000, 0, 1532)]",985.0,fast_thinking,50916.0,SubTSP‑50825
