latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
316.45,1592268,,,LKH,,
388.15,1592193,"[(3200, 4100, 7800, 9800)]",279.0,fast_thinking,1592268.0,SubTSP‑1592268
506.58,1591889,"[(1200, 3000, 5600, 8600), (9800, 11300, 8600, 10400)]",750.0,fast_thinking,1592268.0,SubTSP‑1592193
554.32,1591824,"[(7000, 8600, 18500, 21700)]",376.0,fast_thinking,1592193.0,SubTSP‑1591889
621.63,1591233,"[(14600, 16800, 10000, 13500), (4200, 6999, 17600, 23200)]",834.0,fast_thinking,1591889.0,SubTSP‑1591824
848.66,1590933,"[(2450, 3400, 7800, 10680)]",364.0,fast_thinking,1591233.0,SubTSP‑1591233
941.78,1590734,"[(1200, 2200, 8800, 10900), (8600, 9700, 7800, 11500)]",472.0,fast_thinking,1591233.0,SubTSP‑1590933
1161.19,1590600,"[(14420, 16200, 14850, 18250)]",367.0,fast_thinking,1590933.0,SubTSP‑1590734
1348.14,1590543,"[(3500, 4900, 7000, 9800)]",481.0,fast_thinking,1590734.0,SubTSP‑1590600
1480.15,1590406,"[(13895, 14590, 9000, 15600)]",375.0,fast_thinking,1590600.0,SubTSP‑1590543
1526.99,1590345,"[(7000, 8500, 7000, 13000)]",320.0,fast_thinking,1590543.0,SubTSP‑1590406
1535.98,1590127,"[(7006, 11734, 12210, 13892)]",470.0,reasoning,1592268.0,SubTSP‑1590345
1754.97,1589371,"[(8500, 10625, 19800, 23040), (11895, 13650, 12410, 15695)]",721.0,reasoning,1590345.0,SubTSP‑1590127
1940.06,1589371,"[(2450, 3490, 7400, 10200), (10800, 12200, 9600, 11600)]",888.0,fast_thinking,1590406.0,SubTSP‑1589371
1992.41,1589236,"[(12950, 16080, 20100, 23540)]",284.0,reasoning,1590127.0,SubTSP‑1589371
2023.15,1589024,"[(6200, 7600, 18800, 23500)]",463.0,fast_thinking,1589371.0,SubTSP‑1589236
2136.59,1589024,"[(3550, 4750, 6000, 9200), (14600, 16600, 9000, 13200)]",808.0,fast_thinking,1589236.0,SubTSP‑1589024
2222.2,1588067,"[(2000, 6200, 16000, 23880), (9490, 10780, 9200, 12200)]",817.0,fast_thinking,1589024.0,SubTSP‑1589024
2253.43,1588067,"[(14060, 18140, 13250, 15820), (10700, 12940, 19200, 22300)]",728.0,reasoning,1589371.0,SubTSP‑1588067
2278.11,1588067,"[(1620, 2440, 5600, 9000), (12250, 14500, 8400, 10000)]",394.0,fast_thinking,1589024.0,SubTSP‑1588067
2391.98,1587926,"[(2500, 3500, 5200, 8600)]",432.0,fast_thinking,1588067.0,SubTSP‑1588067
2449.82,1587851,"[(4800, 6200, 5600, 10640), (12920, 13480, 10020, 12920)]",465.0,reasoning,1588067.0,SubTSP‑1587926
2525.52,1587721,"[(10350, 12950, 600, 5400)]",435.0,fast_thinking,1588067.0,SubTSP‑1587851
2655.58,1587655,"[(3600, 4600, 6800, 9800)]",412.0,fast_thinking,1587851.0,SubTSP‑1587721
2658.48,1587196,"[(6700, 9900, 2000, 3800), (14700, 16980, 19000, 22500)]",455.0,reasoning,1587926.0,SubTSP‑1587655
2812.08,1587196,"[(1750, 3100, 7500, 9800), (13600, 15700, 9400, 12200)]",963.0,fast_thinking,1587721.0,SubTSP‑1587196
2865.7,1587013,"[(15750, 17850, 11250, 16000), (350, 1700, 5600, 10080)]",879.0,fast_thinking,1587196.0,SubTSP‑1587196
2963.55,1587013,"[(2710, 4699, 4740, 6750), (11000, 12500, 9000, 11200)]",678.0,fast_thinking,1587196.0,SubTSP‑1587013
3005.45,1586938,"[(8000, 9230, 9400, 13200)]",407.0,reasoning,1587196.0,SubTSP‑1587013
3028.42,1586819,"[(10850, 12140, 11050, 12580)]",226.0,fast_thinking,1587013.0,SubTSP‑1586938
3099.2,1586793,"[(1500, 2580, 6600, 9600)]",390.0,fast_thinking,1586938.0,SubTSP‑1586819
3263.92,1586518,"[(12550, 13550, 9400, 13200), (6200, 7700, 16200, 19800)]",630.0,fast_thinking,1586793.0,SubTSP‑1586793
3510.38,1586326,"[(3400, 4600, 8800, 10200), (14000, 15749, 9600, 12800)]",753.0,fast_thinking,1586518.0,SubTSP‑1586518
3666.24,1586326,"[(9000, 14000, 13250, 14500), (14000, 19600, 16500, 18980)]",804.0,reasoning,1587013.0,SubTSP‑1586326
3679.07,1585716,"[(12000, 14600, 1000, 6200)]",451.0,fast_thinking,1586326.0,SubTSP‑1586326
3691.65,1585716,"[(15750, 17600, 9000, 13000), (4200, 7800, 500, 3600)]",610.0,fast_thinking,1586326.0,SubTSP‑1585716
3745.39,1585575,"[(7200, 10000, 800, 4600)]",455.0,fast_thinking,1585716.0,SubTSP‑1585716
3847.12,1585253,"[(500, 3000, 2000, 6000), (8200, 10200, 17600, 21000)]",441.0,fast_thinking,1585716.0,SubTSP‑1585575
4163.89,1585234,"[(1200, 2400, 7000, 9000)]",280.0,fast_thinking,1585253.0,SubTSP‑1585253
4229.94,1585169,"[(7400, 9200, 8000, 12000)]",380.0,fast_thinking,1585253.0,SubTSP‑1585234
4319.66,1585059,"[(12800, 15600, 18500, 21800)]",478.0,fast_thinking,1585234.0,SubTSP‑1585169
4416.99,1584942,"[(11600, 13000, 9300, 12000)]",498.0,fast_thinking,1585169.0,SubTSP‑1585059
4540.77,1584701,"[(1180, 3820, 9810, 10120), (9800, 11599, 10800, 12600)]",440.0,fast_thinking,1585059.0,SubTSP‑1584942
4834.42,1584469,"[(14500, 16500, 10000, 13800), (5600, 8100, 16500, 21000)]",940.0,fast_thinking,1584701.0,SubTSP‑1584701
5004.96,1584430,"[(11800, 15000, 2600, 6200), (2800, 4600, 8600, 10200)]",806.0,fast_thinking,1584469.0,SubTSP‑1584469
