latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
1.6,51112,,,LKH,,
8.99,51112,"[(2382, 3573, 1228, 2150), (0, 1191, 0, 921)]",136.0,fast_thinking,51112.0,SubTSP‑51112
15.52,51071,"[(2300, 4357, 2200, 3372)]",133.0,fast_thinking,51112.0,SubTSP‑51112
26.99,51006,"[(1350, 2300, 1300, 2300), (1191, 2382, 0, 1228)]",375.0,fast_thinking,51112.0,SubTSP‑51071
30.78,51006,"[(1350, 2300, 1300, 2300), (1350, 2382, 0, 1228)]",369.0,fast_thinking,51071.0,SubTSP‑51006
34.45,51006,"[(0, 1350, 2300, 3372), (2382, 4357, 0, 1228)]",210.0,fast_thinking,51006.0,SubTSP‑51006
99.21,51006,"[(500, 1550, 850, 2800), (1400, 2300, 1400, 2400)]",581.0,reasoning,51112.0,SubTSP‑51006
112.98,51004,"[(1350, 2382, 1228, 2300)]",284.0,fast_thinking,51006.0,SubTSP‑51006
113.42,50963,"[(0, 1350, 0, 1300), (1191, 2382, 2300, 3372)]",242.0,reasoning,51006.0,SubTSP‑51004
115.03,50953,"[(0, 1350, 0, 1228), (1191, 2382, 1843, 3372)]",348.0,reasoning,51006.0,SubTSP‑50963
117.29,50953,"[(1400, 2382, 1228, 2300), (2382, 4357, 0, 1228)]",366.0,fast_thinking,51006.0,SubTSP‑50953
134.81,50879,"[(2382, 3573, 1228, 3372), (2779, 4357, 1843, 3372)]",295.0,fast_thinking,50953.0,SubTSP‑50953
137.23,50879,"[(2600, 3800, 1200, 2800), (400, 1200, 300, 1500)]",239.0,reasoning,51006.0,SubTSP‑50879
158.73,50879,"[(0, 1191, 1300, 2800), (1550, 2779, 0, 1228)]",320.0,fast_thinking,50953.0,SubTSP‑50879
188.13,50879,"[(1400, 2779, 2300, 3372), (3573, 4357, 1228, 3372)]",288.0,fast_thinking,50879.0,SubTSP‑50879
233.7,50879,"[(0, 1400, 0, 1300), (0, 1400, 1300, 2800)]",290.0,fast_thinking,50879.0,SubTSP‑50879
240.99,50825,"[(800, 1600, 1500, 3300), (1200, 3200, 900, 1300)]",439.0,reasoning,50879.0,SubTSP‑50879
244.25,50825,"[(1200, 2600, 0, 1300), (2779, 3573, 1228, 2800)]",262.0,fast_thinking,50879.0,SubTSP‑50825
262.37,50825,"[(1400, 2779, 0, 900), (2779, 4357, 0, 1228)]",153.0,fast_thinking,50825.0,SubTSP‑50825
268.28,50825,"[(0, 1400, 2800, 3372), (1600, 3573, 1300, 2300)]",379.0,fast_thinking,50825.0,SubTSP‑50825
304.85,50825,"[(0, 800, 0, 1550), (2600, 4357, 0, 1300)]",100.0,fast_thinking,50825.0,SubTSP‑50825
310.75,50825,"[(1600, 3573, 2300, 3372), (0, 1400, 1550, 2800)]",406.0,fast_thinking,50825.0,SubTSP‑50825
317.27,50825,"[(800, 1600, 0, 1550), (3573, 4357, 1228, 2800)]",187.0,fast_thinking,50825.0,SubTSP‑50825
319.96,50825,"[(2874, 3090, 1706, 2898), (3573, 4357, 1228, 2800)]",67.0,reasoning,50825.0,SubTSP‑50825
323.43,50825,"[(800, 1600, 0, 1300), (3573, 4357, 1300, 3372)]",162.0,fast_thinking,50825.0,SubTSP‑50825
333.59,50825,"[(0, 800, 0, 1550), (1600, 3573, 0, 1228)]",188.0,fast_thinking,50825.0,SubTSP‑50825
339.99,50825,"[(1400, 2874, 1550, 2800), (1876, 2416, 2725, 2835)]",388.0,fast_thinking,50825.0,SubTSP‑50825
341.58,50825,"[(400, 1200, 900, 2700), (1201, 2800, 700, 1100)]",325.0,reasoning,50825.0,SubTSP‑50825
359.9,50825,"[(1201, 1400, 1101, 2700), (3091, 3572, 1229, 3372)]",93.0,reasoning,50825.0,SubTSP‑50825
375.17,50825,"[(0, 1400, 1551, 3372), (3574, 4357, 0, 3372)]",330.0,fast_thinking,50825.0,SubTSP‑50825
386.19,50825,"[(0, 1400, 0, 1550), (1401, 3573, 2801, 3372)]",189.0,fast_thinking,50825.0,SubTSP‑50825
388.63,50825,"[(1401, 1900, 1200, 1800), (1901, 2600, 1101, 1600)]",177.0,reasoning,50825.0,SubTSP‑50825
392.3,50825,"[(3643, 3747, 726, 1952), (2875, 3573, 1550, 2800)]",67.0,fast_thinking,50825.0,SubTSP‑50825
398.39,50825,"[(1401, 2874, 0, 1100), (1401, 2874, 1101, 1549)]",297.0,fast_thinking,50825.0,SubTSP‑50825
403.89,50825,"[(1401, 2874, 1550, 2800), (2875, 3573, 0, 1549)]",420.0,fast_thinking,50825.0,SubTSP‑50825
409.39,50825,"[(2875, 4357, 0, 1549), (2875, 4357, 1550, 3372)]",205.0,fast_thinking,50825.0,SubTSP‑50825
415.1,50825,"[(2416, 2977, 1990, 2546), (2768, 3294, 680, 1203)]",105.0,fast_thinking,50825.0,SubTSP‑50825
423.43,50825,"[(0, 1400, 0, 1900), (0, 1400, 1901, 3372)]",334.0,fast_thinking,50825.0,SubTSP‑50825
428.62,50825,"[(1401, 2874, 2801, 3372), (3574, 4357, 1550, 3372)]",151.0,fast_thinking,50825.0,SubTSP‑50825
