latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
316.45,1592268,,,LKH,,
337.85,1592112,"[(9800, 11800, 10500, 13500), (2400, 3800, 7000, 8800)]",1033.0,fast_thinking,1592268.0,SubTSP‑1592268
353.25,1591864,"[(7680, 9500, 8620, 11000)]",286.0,reasoning,1592268.0,SubTSP‑1592112
384.91,1591810,"[(11850, 13980, 10500, 13500), (2000, 4200, 6200, 8800)]",1442.0,fast_thinking,1592268.0,SubTSP‑1591864
400.72,1591523,"[(3000, 5400, 6000, 9600)]",851.0,fast_thinking,1592112.0,SubTSP‑1591810
426.19,1590818,"[(100, 1800, 6150, 8200), (12000, 15520, 8600, 11000)]",749.0,reasoning,1591864.0,SubTSP‑1591523
468.51,1590818,"[(1200, 3000, 6400, 9400), (10000, 12000, 9600, 12000)]",1339.0,fast_thinking,1591523.0,SubTSP‑1590818
491.48,1590818,"[(1198, 3500, 6384, 8800), (10700, 13100, 9000, 11200)]",1396.0,reasoning,1590818.0,SubTSP‑1590818
506.85,1590634,"[(11800, 14800, 8400, 11400), (1800, 4200, 6400, 8800)]",1524.0,fast_thinking,1590818.0,SubTSP‑1590818
514.08,1589716,"[(500, 2600, 7800, 11200), (12200, 14640, 13800, 16230)]",993.0,reasoning,1590818.0,SubTSP‑1590634
520.81,1589570,"[(7260, 9000, 13300, 15500), (4200, 5540, 6900, 10830)]",414.0,reasoning,1590818.0,SubTSP‑1589716
543.52,1589535,"[(8700, 10300, 12400, 13560), (190, 1800, 7300, 9100)]",456.0,reasoning,1589716.0,SubTSP‑1589570
586.42,1589520,"[(1200, 3200, 6600, 9200)]",674.0,fast_thinking,1589570.0,SubTSP‑1589535
613.61,1589478,"[(11850, 14200, 9300, 12500), (1200, 3200, 6400, 9200)]",1574.0,fast_thinking,1589535.0,SubTSP‑1589520
632.4,1589313,"[(11000, 13600, 9800, 12600), (700, 3400, 7300, 10400)]",1917.0,reasoning,1589570.0,SubTSP‑1589478
648.88,1589313,"[(1200, 3600, 6600, 9400), (11800, 14800, 8400, 11400)]",1671.0,fast_thinking,1589535.0,SubTSP‑1589313
671.3,1589313,"[(1200, 3200, 6400, 9200), (11800, 14800, 8800, 11800)]",1594.0,fast_thinking,1589520.0,SubTSP‑1589313
686.58,1588943,"[(12400, 15960, 12500, 15500)]",668.0,reasoning,1589520.0,SubTSP‑1589313
687.99,1588845,"[(8460, 9500, 9440, 11050), (4200, 5980, 8400, 10220)]",316.0,reasoning,1589313.0,SubTSP‑1588943
715.19,1588845,"[(400, 3000, 6400, 9800), (12000, 14000, 9400, 11800)]",1533.0,fast_thinking,1589313.0,SubTSP‑1588845
744.07,1588843,"[(11800, 14800, 8400, 11400), (300, 2600, 7000, 11200)]",1524.0,fast_thinking,1588845.0,SubTSP‑1588845
776.87,1588723,"[(12050, 14250, 9600, 12500)]",774.0,fast_thinking,1588845.0,SubTSP‑1588843
793.66,1588264,"[(6000, 9800, 9000, 13200)]",849.0,reasoning,1588845.0,SubTSP‑1588723
809.75,1588264,"[(200, 2200, 6000, 9000), (11800, 14200, 9200, 12400)]",1348.0,fast_thinking,1588843.0,SubTSP‑1588264
829.87,1588264,"[(7460, 9100, 9050, 11050), (1784, 5816, 8700, 10724)]",1044.0,reasoning,1588843.0,SubTSP‑1588264
858.1,1588033,"[(11800, 14400, 8600, 11800)]",816.0,fast_thinking,1588264.0,SubTSP‑1588264
890.47,1588016,"[(11880, 14400, 9600, 12800)]",959.0,fast_thinking,1588264.0,SubTSP‑1588033
903.63,1587652,"[(11100, 13200, 14200, 17000), (1200, 3000, 7800, 9800)]",888.0,reasoning,1588033.0,SubTSP‑1588016
933.7,1587500,"[(9000, 13200, 16000, 19600), (2400, 5400, 8800, 12200)]",1608.0,reasoning,1588016.0,SubTSP‑1587652
969.87,1587082,"[(10800, 13200, 14000, 17000), (2600, 4800, 9600, 12200)]",907.0,reasoning,1587652.0,SubTSP‑1587500
991.53,1586701,"[(9240, 11350, 13550, 16250), (600, 3200, 8200, 11200)]",993.0,reasoning,1587500.0,SubTSP‑1587082
1031.19,1586676,"[(8420, 10400, 13600, 15980), (3000, 5400, 8800, 11200)]",789.0,reasoning,1586701.0,SubTSP‑1586701
1055.09,1586460,"[(10400, 12400, 9000, 12000)]",786.0,fast_thinking,1586701.0,SubTSP‑1586676
1070.3,1586460,"[(8800, 11600, 11800, 15200), (300, 3200, 8200, 11400)]",1368.0,reasoning,1586701.0,SubTSP‑1586460
1229.59,1586349,"[(10800, 13200, 10400, 12800)]",699.0,reasoning,1586676.0,SubTSP‑1586460
1244.6,1586234,"[(8580, 11300, 9460, 11500)]",685.0,reasoning,1586460.0,SubTSP‑1586349
1252.44,1586064,"[(8800, 11200, 15000, 17400), (600, 3000, 8400, 11600)]",799.0,reasoning,1586349.0,SubTSP‑1586234
1269.74,1586064,"[(300, 2600, 6800, 9800), (10400, 12400, 9600, 12400)]",1474.0,fast_thinking,1586460.0,SubTSP‑1586064
1291.05,1585936,"[(300, 2600, 6000, 9800), (11800, 14400, 8800, 12000)]",1615.0,fast_thinking,1586064.0,SubTSP‑1586064
1310.12,1585936,"[(300, 2600, 6800, 9800), (11800, 14400, 9200, 12400)]",1662.0,fast_thinking,1586064.0,SubTSP‑1585936
1326.46,1585664,"[(10800, 13200, 12000, 14400)]",513.0,reasoning,1586064.0,SubTSP‑1585936
1337.1,1585664,"[(8800, 11600, 12600, 16400), (500, 3000, 7600, 11000)]",1437.0,reasoning,1585936.0,SubTSP‑1585664
1359.77,1585425,"[(9020, 11300, 16000, 19000)]",330.0,reasoning,1585664.0,SubTSP‑1585664
1382.67,1585425,"[(8800, 12000, 14200, 18800), (0, 3600, 8400, 13200)]",1641.0,reasoning,1585664.0,SubTSP‑1585425
1423.45,1585328,"[(300, 2600, 6000, 9800)]",748.0,fast_thinking,1585425.0,SubTSP‑1585425
1438.72,1585206,"[(3000, 5904, 5400, 7600)]",518.0,reasoning,1585425.0,SubTSP‑1585328
1445.41,1585206,"[(8800, 11200, 11600, 14000), (500, 3200, 7800, 11200)]",1296.0,reasoning,1585425.0,SubTSP‑1585206
1477.0,1585206,"[(300, 2200, 6400, 9200), (10000, 12400, 9600, 12400)]",1378.0,fast_thinking,1585425.0,SubTSP‑1585206
1496.92,1584886,"[(8600, 12000, 15000, 20000), (400, 3000, 6500, 9600)]",1857.0,reasoning,1585206.0,SubTSP‑1585206
1557.49,1584885,"[(10500, 12500, 9000, 11400)]",655.0,fast_thinking,1584886.0,SubTSP‑1584886
1578.43,1584868,"[(9200, 12800, 13200, 17000), (2800, 5600, 5200, 7600)]",1491.0,reasoning,1584886.0,SubTSP‑1584885
1603.07,1584855,"[(11850, 13980, 9350, 12000)]",691.0,fast_thinking,1584886.0,SubTSP‑1584868
1623.03,1584855,"[(8800, 11600, 13000, 17000), (2000, 5600, 5200, 8200)]",1600.0,reasoning,1584868.0,SubTSP‑1584855
1642.38,1584771,"[(500, 3000, 5000, 9000)]",769.0,reasoning,1584885.0,SubTSP‑1584855
1658.48,1584771,"[(1200, 3200, 7200, 9800), (10800, 13200, 9400, 12400)]",1642.0,fast_thinking,1584885.0,SubTSP‑1584771
1682.58,1584771,"[(200, 1800, 6400, 9200), (10400, 12600, 9800, 12200)]",1112.0,fast_thinking,1584855.0,SubTSP‑1584771
1704.24,1584757,"[(6000, 9800, 9000, 13200)]",849.0,reasoning,1584771.0,SubTSP‑1584771
1717.4,1584757,"[(8800, 11200, 13950, 17000), (1200, 3400, 5400, 7600)]",771.0,reasoning,1584771.0,SubTSP‑1584757
1730.58,1584738,"[(11000, 13200, 9400, 12000)]",787.0,fast_thinking,1584771.0,SubTSP‑1584757
1756.94,1584731,"[(10016, 12320, 8920, 11200)]",651.0,fast_thinking,1584771.0,SubTSP‑1584738
1789.39,1584731,"[(1200, 3600, 6200, 9400), (10500, 12500, 8800, 11200)]",1551.0,fast_thinking,1584738.0,SubTSP‑1584731
1797.77,1584702,"[(8800, 12000, 16000, 19600), (2000, 3600, 5600, 7600)]",957.0,reasoning,1584731.0,SubTSP‑1584731
1814.26,1584684,"[(10800, 13200, 9200, 12400)]",975.0,fast_thinking,1584731.0,SubTSP‑1584702
1866.72,1584681,"[(8600, 11200, 12800, 16400)]",538.0,reasoning,1584684.0,SubTSP‑1584684
1891.05,1584672,"[(8800, 12000, 12000, 16000), (2000, 5600, 5000, 8200)]",1835.0,reasoning,1584684.0,SubTSP‑1584681
1915.14,1584669,"[(9800, 12000, 13200, 15400)]",380.0,reasoning,1584684.0,SubTSP‑1584672
1937.11,1584669,"[(300, 2600, 7000, 10400), (10000, 12400, 9600, 12400)]",1599.0,fast_thinking,1584681.0,SubTSP‑1584669
1968.74,1584669,"[(400, 2600, 6400, 9800), (10500, 13000, 9400, 12400)]",1721.0,fast_thinking,1584669.0,SubTSP‑1584669
1993.71,1584664,"[(3000, 5400, 5200, 7600)]",492.0,reasoning,1584669.0,SubTSP‑1584669
