latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
1.6,51112,,,LKH,,
15.28,51071,"[(1500, 2900, 1500, 3000), (2400, 3800, 900, 2000)]",596.0,reasoning,51112.0,SubTSP‑51112
51.72,51071,"[(200, 1200, 1200, 2800), (1800, 3600, 800, 2000)]",582.0,fast_thinking,51112.0,SubTSP‑51071
67.82,51052,"[(200, 1400, 700, 2800)]",289.0,fast_thinking,51071.0,SubTSP‑51071
84.93,50962,"[(1100, 2450, 800, 1900), (3000, 4357, 900, 1900)]",454.0,reasoning,51071.0,SubTSP‑51052
85.49,50962,"[(2400, 4357, 2000, 3372)]",165.0,reasoning,51071.0,SubTSP‑50962
133.11,50962,"[(300, 1400, 700, 2600), (1400, 3400, 800, 2200)]",844.0,fast_thinking,51071.0,SubTSP‑50962
140.62,50962,"[(1100, 2650, 1600, 3372)]",489.0,reasoning,50962.0,SubTSP‑50962
140.9,50962,"[(2600, 4357, 0, 1000)]",95.0,reasoning,50962.0,SubTSP‑50962
164.18,50960,"[(200, 1400, 800, 3000)]",321.0,fast_thinking,50962.0,SubTSP‑50962
264.67,50914,"[(400, 1800, 800, 3000)]",518.0,fast_thinking,50962.0,SubTSP‑50960
264.77,50914,"[(0, 900, 0, 1000), (3000, 4357, 2000, 3372)]",59.0,reasoning,50960.0,SubTSP‑50914
335.76,50914,"[(900, 2400, 900, 2000), (2600, 3950, 0, 900)]",439.0,reasoning,50960.0,SubTSP‑50914
351.76,50914,"[(1000, 2200, 1100, 2700), (2400, 3600, 1000, 1700)]",500.0,reasoning,50914.0,SubTSP‑50914
359.95,50914,"[(600, 1600, 1100, 2800), (1800, 3300, 1100, 2800)]",788.0,fast_thinking,50960.0,SubTSP‑50914
360.16,50914,"[(3083, 3669, 965, 1848), (3000, 4357, 800, 2200)]",160.0,reasoning,50914.0,SubTSP‑50914
394.49,50914,"[(100, 1600, 800, 3000), (1600, 3200, 800, 3000)]",1132.0,fast_thinking,50960.0,SubTSP‑50914
514.51,50914,"[(900, 2600, 1100, 3000)]",787.0,reasoning,50914.0,SubTSP‑50914
627.5,50914,"[(350, 1850, 800, 3000), (1850, 3600, 800, 3000)]",1184.0,fast_thinking,50914.0,SubTSP‑50914
628.11,50914,"[(0, 900, 1100, 3000), (2800, 4357, 1100, 3000)]",168.0,reasoning,50914.0,SubTSP‑50914
831.16,50914,"[(350, 1250, 800, 3000), (1250, 2350, 800, 3000)]",832.0,fast_thinking,50914.0,SubTSP‑50914
853.87,50914,"[(900, 2200, 900, 2100), (2300, 3500, 1100, 2100)]",517.0,reasoning,50914.0,SubTSP‑50914
880.44,50914,"[(300, 1500, 800, 3000), (1500, 3300, 800, 3000)]",1144.0,fast_thinking,50914.0,SubTSP‑50914
882.6,50914,"[(200, 1200, 1400, 3000), (2200, 3600, 1200, 2200)]",376.0,fast_thinking,50914.0,SubTSP‑50914
882.79,50914,"[(3032, 3116, 6, 1629), (2400, 3600, 900, 1500)]",59.0,reasoning,50914.0,SubTSP‑50914
884.29,50914,"[(100, 1200, 600, 2000), (2000, 3300, 800, 2000)]",439.0,fast_thinking,50914.0,SubTSP‑50914
938.8,50914,"[(300, 1800, 900, 2800), (1800, 3600, 900, 1800)]",681.0,fast_thinking,50914.0,SubTSP‑50914
946.35,50914,"[(200, 1400, 700, 1900), (1400, 3200, 700, 1900)]",608.0,fast_thinking,50914.0,SubTSP‑50914
948.51,50914,"[(0, 900, 0, 900), (3100, 4357, 900, 1800)]",62.0,reasoning,50914.0,SubTSP‑50914
950.6,50914,"[(200, 1400, 700, 1800), (1400, 3200, 700, 1800)]",546.0,fast_thinking,50914.0,SubTSP‑50914
991.51,50914,"[(200, 1400, 800, 2000), (1400, 3000, 800, 2000)]",605.0,fast_thinking,50914.0,SubTSP‑50914
