latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
232.81,474929,,,LKH,,
275.05,474875,"[(3500, 4000, 6000, 6600)]",281.0,fast_thinking,474929.0,SubTSP‑474929
314.92,474800,"[(3200, 3800, 5400, 6400), (6000, 7000, 3000, 3800)]",1066.0,fast_thinking,474929.0,SubTSP‑474875
329.63,474623,"[(3800, 4520, 5920, 6400), (3486, 4764, 8648, 10366)]",734.0,reasoning,474929.0,SubTSP‑474800
332.46,474592,"[(4604, 4686, 4566, 7813), (6915, 7947, 5065, 6870)]",292.0,reasoning,474875.0,SubTSP‑474623
348.25,474592,"[(3490, 3985, 5378, 6263), (6200, 7600, 3200, 4600)]",1499.0,fast_thinking,474875.0,SubTSP‑474592
362.71,474534,"[(6600, 7600, 3000, 5200)]",986.0,fast_thinking,474875.0,SubTSP‑474592
370.89,474260,"[(3948, 4685, 6103, 7856), (5113, 5205, 8138, 8735)]",700.0,reasoning,474592.0,SubTSP‑474534
372.57,474260,"[(4617, 7497, 10649, 10808), (7610, 8530, 3182, 8434)]",475.0,reasoning,474592.0,SubTSP‑474260
375.01,474124,"[(4293, 5029, 3860, 4535), (7917, 8224, 2700, 9624)]",468.0,fast_thinking,474592.0,SubTSP‑474260
396.34,474103,"[(3612, 3662, 6737, 6843), (6600, 7600, 3000, 4200)]",639.0,fast_thinking,474534.0,SubTSP‑474124
397.31,474094,"[(7140, 8417, 6418, 8370), (5555, 5874, 7175, 8987)]",261.0,reasoning,474592.0,SubTSP‑474103
419.29,473843,"[(4378, 7656, 8959, 9805), (4578, 5005, 9449, 10481)]",947.0,fast_thinking,474124.0,SubTSP‑474094
434.13,473731,"[(4713, 5600, 6800, 9282)]",975.0,reasoning,474124.0,SubTSP‑473843
438.34,473731,"[(3669, 4264, 6222, 6888), (7000, 8800, 8000, 9800)]",238.0,reasoning,474094.0,SubTSP‑473731
471.76,473659,"[(4876, 6222, 5643, 5828), (3797, 6671, 6658, 7411)]",860.0,fast_thinking,474094.0,SubTSP‑473731
480.86,473501,"[(4687, 5140, 10224, 10766), (4184, 7492, 9959, 10724)]",623.0,fast_thinking,473731.0,SubTSP‑473659
496.66,473463,"[(6181, 6838, 5268, 10092), (7450, 7547, 2696, 5542)]",426.0,fast_thinking,473659.0,SubTSP‑473501
512.23,473463,"[(4352, 4601, 7459, 7641), (5475, 5839, 4434, 9781)]",948.0,reasoning,473659.0,SubTSP‑473463
525.82,473419,"[(5848, 7055, 6458, 7510), (5680, 6625, 4960, 7338)]",494.0,reasoning,473463.0,SubTSP‑473463
555.75,473419,"[(4815, 4877, 3648, 4979), (5461, 6613, 4534, 4631)]",96.0,reasoning,473419.0,SubTSP‑473419
580.53,473110,"[(5795, 7846, 2479, 3444), (5666, 5696, 9308, 10283)]",778.0,fast_thinking,473419.0,SubTSP‑473419
580.74,473110,"[(5799, 5825, 7495, 8851), (3018, 8316, 8981, 8981)]",12.0,fast_thinking,473419.0,SubTSP‑473110
597.86,473110,"[(7337, 7936, 8264, 9819), (4671, 5803, 9529, 10303)]",570.0,reasoning,473110.0,SubTSP‑473110
609.88,473098,"[(3516, 6086, 9679, 10005)]",302.0,reasoning,473110.0,SubTSP‑473110
612.22,473070,"[(7365, 7869, 3260, 8931), (3555, 4993, 9412, 9438)]",387.0,fast_thinking,473110.0,SubTSP‑473098
632.7,472874,"[(5367, 6856, 7167, 8894), (5988, 6050, 4542, 7522)]",776.0,fast_thinking,473098.0,SubTSP‑473070
632.88,472866,"[(3756, 6932, 9539, 9704), (7024, 8407, 5644, 6306)]",180.0,fast_thinking,473070.0,SubTSP‑472874
657.72,472688,"[(3057, 6201, 5962, 6512), (5041, 5233, 7271, 7476)]",991.0,reasoning,473070.0,SubTSP‑472866
662.97,472683,"[(6115, 6532, 9267, 9875), (4824, 7179, 8274, 8549)]",184.0,reasoning,472866.0,SubTSP‑472688
667.26,472683,"[(5657, 6392, 7008, 8685), (7898, 7938, 7935, 10183)]",435.0,fast_thinking,472866.0,SubTSP‑472683
679.68,472670,"[(5992, 6166, 2998, 7285)]",223.0,fast_thinking,472683.0,SubTSP‑472683
703.97,472518,"[(4618, 5370, 6289, 6310), (4259, 4819, 7355, 9859)]",438.0,fast_thinking,472683.0,SubTSP‑472670
715.43,472469,"[(4244, 6516, 8134, 8401), (4891, 7488, 6259, 6894)]",425.0,fast_thinking,472670.0,SubTSP‑472518
732.84,472370,"[(6273, 8017, 7459, 10960), (5612, 6333, 3151, 4102)]",504.0,fast_thinking,472518.0,SubTSP‑472469
734.58,472347,"[(6891, 8137, 5028, 10308), (8186, 8258, 4105, 10503)]",179.0,fast_thinking,472469.0,SubTSP‑472370
749.35,472247,"[(8293, 8398, 3415, 4822), (4567, 8534, 5051, 5394)]",501.0,fast_thinking,472370.0,SubTSP‑472347
750.1,472225,"[(4539, 6489, 8983, 9262), (7177, 7704, 2494, 3209)]",313.0,reasoning,472469.0,SubTSP‑472247
768.06,472221,"[(7646, 8090, 6582, 10724), (4230, 7630, 9752, 10880)]",874.0,reasoning,472347.0,SubTSP‑472225
778.42,472148,"[(7658, 8498, 3007, 10014), (5856, 6560, 5651, 9453)]",954.0,reasoning,472225.0,SubTSP‑472221
789.28,472148,"[(3643, 5763, 10038, 10236), (5912, 6023, 3594, 3746)]",165.0,reasoning,472221.0,SubTSP‑472148
809.92,472128,"[(3605, 7766, 7240, 8073)]",968.0,fast_thinking,472225.0,SubTSP‑472148
810.68,472091,"[(7924, 8284, 3386, 7561), (3809, 5180, 6697, 7259)]",583.0,reasoning,472148.0,SubTSP‑472128
813.77,472026,"[(3569, 5951, 9233, 9686), (3393, 3589, 7847, 8290)]",481.0,fast_thinking,472148.0,SubTSP‑472091
837.29,471997,"[(3994, 5420, 8721, 9138), (7541, 8542, 2733, 10182)]",777.0,reasoning,472148.0,SubTSP‑472026
839.19,471996,"[(5401, 5458, 7895, 8966), (6396, 8249, 6927, 8799)]",75.0,reasoning,472026.0,SubTSP‑471997
855.94,471977,"[(6150, 7291, 7836, 9747), (4837, 6256, 9239, 9349)]",275.0,reasoning,471997.0,SubTSP‑471996
884.23,471977,"[(4086, 5329, 9023, 9320), (6960, 7425, 5658, 10448)]",156.0,fast_thinking,471977.0,SubTSP‑471977
