latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
37.7,564699,,,LKH,,
51.03,564372,"[(11162, 15803, 5792, 9417)]",610.0,reasoning,564699.0,SubTSP‑564699
59.71,564372,"[(14347, 14536, 13963, 14468), (4929, 8814, 9699, 10221)]",62.0,fast_thinking,564699.0,SubTSP‑564372
72.55,564372,"[(11090, 14877, 12642, 12719)]",1.0,fast_thinking,564372.0,SubTSP‑564372
75.42,564214,"[(10178, 14096, 7500, 10342), (16718, 18983, 7015, 14077)]",693.0,reasoning,564372.0,SubTSP‑564372
111.65,563966,"[(6152, 9242, 8100, 11763)]",460.0,fast_thinking,564214.0,SubTSP‑564214
112.39,563676,"[(15255, 17844, 7303, 11207), (15400, 18495, 13177, 13515)]",428.0,reasoning,564214.0,SubTSP‑563966
114.29,563609,"[(9488, 16635, 8386, 9215), (11458, 12945, 11513, 12926)]",322.0,fast_thinking,564214.0,SubTSP‑563676
123.8,563016,"[(1400, 4348, 5752, 12912), (3269, 17843, 7313, 8769)]",1286.0,fast_thinking,564372.0,SubTSP‑563609
124.59,562569,"[(12083, 14670, 7538, 13044), (18432, 18998, 10663, 14280)]",569.0,reasoning,564214.0,SubTSP‑563016
126.46,562545,"[(3073, 6951, 8304, 10711), (1671, 3091, 8352, 10003)]",483.0,reasoning,564214.0,SubTSP‑562569
130.55,562545,"[(14584, 18499, 6020, 9581), (5237, 12629, 14086, 14528)]",565.0,fast_thinking,564214.0,SubTSP‑562545
146.72,562545,"[(8520, 16626, 11677, 13634), (12765, 14382, 11212, 13049)]",656.0,reasoning,562545.0,SubTSP‑562545
147.91,562545,"[(2106, 3883, 5086, 11617), (12640, 16299, 14083, 14585)]",280.0,reasoning,562545.0,SubTSP‑562545
169.49,561474,"[(5932, 13116, 13736, 14510), (8423, 13016, 10419, 14589)]",700.0,fast_thinking,562545.0,SubTSP‑562545
176.52,560909,"[(12509, 14744, 6655, 12983), (9032, 15528, 8841, 12456)]",1145.0,fast_thinking,562545.0,SubTSP‑561474
202.6,560827,"[(9251, 18178, 10344, 13336), (8819, 12371, 6530, 13832)]",1401.0,fast_thinking,561474.0,SubTSP‑560909
212.11,560827,"[(6217, 10864, 11425, 12914), (14136, 15090, 14444, 14639)]",219.0,reasoning,560909.0,SubTSP‑560827
220.08,560827,"[(5419, 10171, 13575, 13678), (7117, 8228, 8246, 8497)]",14.0,fast_thinking,560827.0,SubTSP‑560827
224.72,560827,"[(13365, 15682, 8126, 10346), (2411, 16607, 13950, 14260)]",359.0,reasoning,560827.0,SubTSP‑560827
228.6,560782,"[(12066, 17190, 12683, 14521)]",353.0,fast_thinking,560827.0,SubTSP‑560827
230.41,560782,"[(14622, 17814, 7988, 12128), (10591, 11045, 10961, 11280)]",437.0,reasoning,560827.0,SubTSP‑560782
244.48,560579,"[(1059, 17671, 7116, 7577)]",238.0,fast_thinking,560782.0,SubTSP‑560782
259.48,560579,"[(13101, 14751, 7730, 11155), (13505, 13958, 10238, 12387)]",237.0,reasoning,560579.0,SubTSP‑560579
262.46,560579,"[(10021, 11379, 9695, 9995), (1353, 13071, 12534, 12708)]",67.0,fast_thinking,560579.0,SubTSP‑560579
278.98,560579,"[(6594, 9259, 9122, 10879), (17171, 18684, 4620, 10766)]",417.0,fast_thinking,560579.0,SubTSP‑560579
287.6,560579,"[(11368, 14367, 6669, 9136), (11496, 17519, 11366, 12165)]",435.0,fast_thinking,560579.0,SubTSP‑560579
299.38,560579,"[(6148, 6521, 9896, 12891), (16549, 18711, 11069, 12250)]",53.0,fast_thinking,560579.0,SubTSP‑560579
325.59,560579,"[(11274, 14618, 14136, 14165)]",1.0,reasoning,560579.0,SubTSP‑560579
344.49,560357,"[(7006, 16753, 7854, 9728), (13621, 15081, 8395, 14457)]",1059.0,reasoning,560579.0,SubTSP‑560579
344.7,560357,"[(17803, 18182, 9206, 10827), (15390, 18928, 13325, 13338)]",6.0,reasoning,560579.0,SubTSP‑560357
347.74,560357,"[(11359, 13746, 12541, 14007), (453, 522, 12139, 14300)]",84.0,fast_thinking,560579.0,SubTSP‑560357
356.99,560357,"[(9088, 11806, 12396, 13014), (13891, 16130, 8580, 11309)]",289.0,reasoning,560579.0,SubTSP‑560357
363.08,560357,"[(2157, 13728, 13553, 14399), (4910, 15978, 12932, 14461)]",540.0,reasoning,560357.0,SubTSP‑560357
371.29,560357,"[(12350, 19107, 5987, 6815), (14868, 15965, 13831, 14558)]",177.0,fast_thinking,560357.0,SubTSP‑560357
374.67,560357,"[(8810, 18235, 9746, 11878), (13302, 13648, 10910, 13771)]",620.0,reasoning,560357.0,SubTSP‑560357
383.54,560357,"[(14773, 16779, 8731, 10286), (13120, 17386, 8128, 11404)]",661.0,fast_thinking,560357.0,SubTSP‑560357
393.29,560357,"[(4186, 8698, 8678, 13338), (4756, 8410, 9692, 13261)]",927.0,fast_thinking,560357.0,SubTSP‑560357
394.06,560311,"[(7105, 11562, 4926, 7020)]",352.0,reasoning,560357.0,SubTSP‑560357
409.38,560311,"[(11067, 17549, 12113, 12161)]",1.0,reasoning,560311.0,SubTSP‑560311
418.64,560311,"[(4807, 5969, 4502, 5125), (11395, 11445, 7217, 12315)]",41.0,fast_thinking,560311.0,SubTSP‑560311
441.55,560283,"[(1622, 14157, 10299, 12227)]",702.0,fast_thinking,560311.0,SubTSP‑560311
442.89,560283,"[(12954, 15603, 9844, 10539), (17496, 18845, 11882, 14295)]",100.0,fast_thinking,560311.0,SubTSP‑560283
455.4,560092,"[(3653, 7375, 6370, 13984)]",803.0,fast_thinking,560283.0,SubTSP‑560283
456.03,560092,"[(1109, 2375, 10094, 13092), (1530, 7137, 8634, 8799)]",131.0,fast_thinking,560283.0,SubTSP‑560092
457.56,560092,"[(3843, 16954, 14165, 14424), (13031, 13836, 11995, 13155)]",88.0,reasoning,560283.0,SubTSP‑560092
505.0,560054,"[(9669, 12489, 5097, 9486), (15684, 17933, 13130, 14063)]",532.0,reasoning,560092.0,SubTSP‑560092
