latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
3.51,22305,,,LKH,,
15.76,22299,"[(900, 1750, 500, 950)]",217.0,fast_thinking,22305.0,SubTSP‑22305
22.43,22299,"[(600, 1800, 1400, 1900), (400, 1000, 300, 900)]",375.0,reasoning,22305.0,SubTSP‑22299
30.65,22297,"[(400, 1300, 1450, 1950)]",241.0,fast_thinking,22299.0,SubTSP‑22299
36.37,22287,"[(450, 900, 950, 1420), (1350, 1800, 950, 1420)]",351.0,fast_thinking,22299.0,SubTSP‑22297
40.21,22253,"[(900, 1350, 950, 1420), (438, 876, 0, 474)]",211.0,fast_thinking,22297.0,SubTSP‑22287
60.56,22253,"[(2000, 6200, 220, 2100), (504, 1434, 308, 2011)]",753.0,fast_thinking,22253.0,SubTSP‑22253
72.73,22249,"[(400, 1950, 950, 1420), (726, 988, 922, 1449)]",501.0,fast_thinking,22253.0,SubTSP‑22253
105.04,22249,"[(400, 1800, 2000, 2450), (400, 1800, 0, 450)]",308.0,fast_thinking,22249.0,SubTSP‑22249
139.77,22249,"[(2000, 5800, 200, 2100), (974, 1609, 391, 827)]",206.0,fast_thinking,22249.0,SubTSP‑22249
151.31,22249,"[(400, 1800, 1300, 2000), (400, 1800, 200, 900)]",708.0,fast_thinking,22249.0,SubTSP‑22249
171.8,22249,"[(200, 1200, 1950, 2300), (300, 1800, 1000, 1400)]",526.0,fast_thinking,22249.0,SubTSP‑22249
213.63,22249,"[(600, 1500, 1750, 1950), (1000, 1850, 200, 600)]",146.0,reasoning,22249.0,SubTSP‑22249
238.98,22249,"[(851, 1024, 1356, 1783), (1500, 2000, 0, 199)]",120.0,reasoning,22249.0,SubTSP‑22249
258.66,22249,"[(0, 2000, 474, 948), (0, 2000, 948, 1422)]",768.0,fast_thinking,22249.0,SubTSP‑22249
268.18,22249,"[(0, 2000, 1422, 1896), (438, 1752, 1896, 2200)]",561.0,fast_thinking,22249.0,SubTSP‑22249
310.13,22249,"[(200, 900, 200, 700), (600, 1500, 1200, 1600)]",297.0,reasoning,22249.0,SubTSP‑22249
316.45,22249,"[(0, 850, 0, 900), (0, 850, 900, 1896)]",228.0,fast_thinking,22249.0,SubTSP‑22249
329.34,22249,"[(850, 1750, 0, 950), (850, 1750, 950, 1896)]",924.0,fast_thinking,22249.0,SubTSP‑22249
332.94,22249,"[(0, 850, 0, 1896), (1750, 2200, 0, 1896)]",386.0,fast_thinking,22249.0,SubTSP‑22249
340.17,22249,"[(850, 1750, 0, 948), (850, 1750, 948, 1896)]",924.0,fast_thinking,22249.0,SubTSP‑22249
360.04,22249,"[(0, 850, 0, 1896), (1750, 2200, 0, 1896)]",386.0,fast_thinking,22249.0,SubTSP‑22249
363.42,22249,"[(2000, 7500, 0, 2000), (1606, 1990, 831, 1722)]",222.0,fast_thinking,22249.0,SubTSP‑22249
396.46,22249,"[(0, 2000, 300, 850), (0, 2000, 1700, 2100)]",599.0,reasoning,22249.0,SubTSP‑22249
409.31,22249,"[(0, 2200, 2000, 4300), (1522, 1628, 959, 1318)]",249.0,fast_thinking,22249.0,SubTSP‑22249
412.63,22249,"[(400, 1400, 1800, 2000), (900, 1600, 800, 1400)]",427.0,reasoning,22249.0,SubTSP‑22249
417.39,22249,"[(400, 1750, 1400, 1950), (800, 1550, 400, 950)]",638.0,fast_thinking,22249.0,SubTSP‑22249
429.33,22249,"[(0, 800, 0, 470), (1300, 1950, 950, 1420)]",412.0,fast_thinking,22249.0,SubTSP‑22249
445.0,22249,"[(2000, 7000, 950, 1896), (1154, 1981, 798, 1733)]",584.0,fast_thinking,22249.0,SubTSP‑22249
456.39,22249,"[(1986, 2078, 440, 1132), (545, 1231, 540, 1499)]",287.0,fast_thinking,22249.0,SubTSP‑22249
468.33,22249,"[(0, 850, 450, 1450), (1300, 2000, 450, 1450)]",557.0,fast_thinking,22249.0,SubTSP‑22249
494.37,22249,"[(0, 2500, 2000, 4800), (498, 1667, 275, 1691)]",1004.0,fast_thinking,22249.0,SubTSP‑22249
495.47,22249,"[(430, 1750, 1420, 1910), (875, 1750, 0, 470)]",374.0,fast_thinking,22249.0,SubTSP‑22249
502.89,22249,"[(0, 430, 0, 1910), (1750, 2200, 0, 1910)]",180.0,fast_thinking,22249.0,SubTSP‑22249
520.96,22249,"[(430, 875, 0, 1910), (875, 1314, 0, 1910)]",622.0,fast_thinking,22249.0,SubTSP‑22249
527.29,22249,"[(1314, 1752, 0, 1910), (0, 438, 0, 1910)]",550.0,fast_thinking,22249.0,SubTSP‑22249
562.92,22249,"[(2000, 6000, 0, 2000), (1833, 2061, 535, 1505)]",57.0,fast_thinking,22249.0,SubTSP‑22249
574.61,22249,"[(0, 2000, 1400, 2000), (800, 1800, 0, 600)]",622.0,fast_thinking,22249.0,SubTSP‑22249
590.18,22249,"[(400, 1750, 0, 500), (850, 1750, 1400, 2000)]",482.0,fast_thinking,22249.0,SubTSP‑22249
607.11,22249,"[(900, 1750, 950, 1420), (0, 870, 470, 1420)]",479.0,fast_thinking,22249.0,SubTSP‑22249
627.25,22249,"[(900, 1750, 1430, 1950), (0, 870, 1430, 1950)]",375.0,fast_thinking,22249.0,SubTSP‑22249
746.67,22249,"[(0, 2000, 950, 1950), (0, 2000, 1950, 2500)]",1116.0,fast_thinking,22249.0,SubTSP‑22249
774.95,22249,"[(400, 1800, 0, 500), (400, 1750, 1420, 1960)]",535.0,fast_thinking,22249.0,SubTSP‑22249
777.29,22249,"[(900, 1700, 1960, 2100), (0, 600, 500, 1420)]",69.0,fast_thinking,22249.0,SubTSP‑22249
784.42,22249,"[(700, 1850, 1450, 1890), (650, 1750, 0, 460)]",323.0,fast_thinking,22249.0,SubTSP‑22249
804.22,22249,"[(0, 1000, 1500, 2000), (1650, 2000, 1200, 1550)]",227.0,reasoning,22249.0,SubTSP‑22249
812.69,22249,"[(1750, 2500, 950, 1420), (876, 1750, 0, 474)]",101.0,fast_thinking,22249.0,SubTSP‑22249
817.57,22249,"[(0, 876, 474, 1896), (1314, 2500, 1420, 1896)]",299.0,fast_thinking,22249.0,SubTSP‑22249
820.4,22249,"[(300, 1400, 1700, 1950), (800, 1750, 850, 1150)]",191.0,reasoning,22249.0,SubTSP‑22249
850.06,22249,"[(400, 1750, 2000, 2450), (400, 1750, 0, 450)]",276.0,fast_thinking,22249.0,SubTSP‑22249
857.7,22249,"[(0, 2000, 1450, 2000), (0, 2000, 475, 950)]",639.0,fast_thinking,22249.0,SubTSP‑22249
920.13,22249,"[(1800, 5700, 205, 920), (600, 1550, 1510, 2000)]",228.0,fast_thinking,22249.0,SubTSP‑22249
929.05,22249,"[(0, 800, 100, 1900), (1400, 2200, 100, 1900)]",741.0,fast_thinking,22249.0,SubTSP‑22249
938.02,22249,"[(1800, 5200, 1450, 1950), (500, 1950, 0, 450)]",213.0,fast_thinking,22249.0,SubTSP‑22249
941.26,22249,"[(0, 2200, 1980, 2100), (200, 1750, 450, 950)]",426.0,fast_thinking,22249.0,SubTSP‑22249
946.58,22249,"[(200, 1500, 1200, 1450), (300, 1750, 0, 600)]",329.0,reasoning,22249.0,SubTSP‑22249
963.11,22249,"[(700, 1400, 1750, 1950), (1200, 1700, 1000, 1350)]",402.0,reasoning,22249.0,SubTSP‑22249
1004.18,22249,"[(400, 1800, 1900, 2350), (400, 1800, 0, 470)]",389.0,fast_thinking,22249.0,SubTSP‑22249
