latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
232.81,474929,,,LKH,,
275.38,474929,"[(6500, 8800, 2200, 4000), (3500, 4300, 5700, 6500)]",1692.0,reasoning,474929.0,SubTSP‑474929
290.96,474649,"[(3650, 4750, 6000, 7200), (3200, 4100, 6550, 7250)]",1298.0,fast_thinking,474929.0,SubTSP‑474929
310.89,474408,"[(2290, 3500, 4830, 5870), (5200, 6500, 2200, 3200)]",840.0,fast_thinking,474929.0,SubTSP‑474649
314.69,474408,"[(2340, 3200, 4540, 5400), (7200, 9000, 8200, 10100)]",79.0,fast_thinking,474649.0,SubTSP‑474408
331.41,474083,"[(2800, 4500, 2600, 4200), (3300, 4500, 7800, 10000)]",826.0,reasoning,474649.0,SubTSP‑474408
385.61,474083,"[(6500, 9000, 4000, 6000), (4600, 5500, 8200, 9500)]",1402.0,reasoning,474408.0,SubTSP‑474083
404.37,473830,"[(4900, 6100, 4200, 5500)]",757.0,fast_thinking,474083.0,SubTSP‑474083
418.48,473704,"[(7000, 8500, 3200, 5000)]",839.0,reasoning,474083.0,SubTSP‑473830
441.5,473704,"[(3850, 4600, 4800, 5600), (5600, 7000, 9000, 11200)]",1357.0,reasoning,474083.0,SubTSP‑473704
451.41,473704,"[(5100, 6500, 5200, 6600), (4800, 5700, 9000, 10400)]",1425.0,fast_thinking,474083.0,SubTSP‑473704
469.33,473313,"[(4800, 6300, 5200, 7100)]",982.0,fast_thinking,473704.0,SubTSP‑473704
469.74,473268,"[(6000, 7000, 5500, 7000), (4800, 6200, 10500, 12103)]",292.0,reasoning,473704.0,SubTSP‑473313
480.48,473220,"[(3800, 4400, 5800, 6400), (6700, 7300, 3200, 3700)]",655.0,fast_thinking,473704.0,SubTSP‑473268
515.32,473049,"[(4100, 4886, 4686, 5600), (5000, 6000, 2432, 3232)]",931.0,fast_thinking,473268.0,SubTSP‑473220
521.65,472976,"[(2630, 3499, 5900, 6499), (3000, 4700, 9000, 11821)]",390.0,reasoning,473704.0,SubTSP‑473049
533.92,472976,"[(5000, 6700, 5800, 8000), (7200, 9000, 6000, 8200)]",1003.0,fast_thinking,473220.0,SubTSP‑472976
556.01,472941,"[(3419, 4400, 6000, 7000), (6650, 7050, 3200, 3500)]",997.0,fast_thinking,473220.0,SubTSP‑472976
570.16,472912,"[(6200, 7000, 3100, 4000)]",441.0,fast_thinking,472976.0,SubTSP‑472941
581.72,472784,"[(5400, 6700, 7700, 9000)]",604.0,fast_thinking,472976.0,SubTSP‑472912
593.54,472674,"[(2355, 3500, 5870, 8000), (5600, 6500, 3300, 3800)]",805.0,reasoning,473049.0,SubTSP‑472784
622.72,472588,"[(5300, 7000, 7200, 9300)]",998.0,fast_thinking,472912.0,SubTSP‑472674
635.04,472588,"[(4320, 5535, 5049, 6426), (4900, 6300, 7730, 8370)]",1460.0,fast_thinking,472674.0,SubTSP‑472588
665.77,472506,"[(3700, 4450, 5550, 6350), (5500, 7200, 6700, 9000)]",1469.0,fast_thinking,472588.0,SubTSP‑472588
683.16,472287,"[(5130, 6100, 3110, 4100), (3650, 4450, 5400, 6200)]",1419.0,fast_thinking,472588.0,SubTSP‑472506
690.19,472188,"[(2750, 3500, 6500, 7525), (4500, 5400, 8168, 9000)]",641.0,reasoning,472784.0,SubTSP‑472287
748.8,472114,"[(7000, 9118, 2200, 4000)]",586.0,fast_thinking,472188.0,SubTSP‑472188
771.11,472035,"[(4294, 5000, 8543, 10687), (4000, 6000, 1552, 2600)]",377.0,reasoning,472188.0,SubTSP‑472114
801.75,472035,"[(3700, 4700, 5600, 6600), (5400, 7400, 7000, 9300)]",1867.0,fast_thinking,472114.0,SubTSP‑472035
861.07,471966,"[(2355, 5200, 8500, 11821), (5500, 7150, 4150, 4370)]",1036.0,reasoning,472035.0,SubTSP‑472035
912.54,471962,"[(4600, 5000, 2600, 3299), (3200, 4800, 10000, 10750)]",132.0,reasoning,472035.0,SubTSP‑471966
929.13,471848,"[(4100, 4600, 5300, 5800), (5130, 6170, 8800, 9750)]",945.0,fast_thinking,472035.0,SubTSP‑471962
958.02,471845,"[(3700, 4550, 5700, 6500), (5485, 6231, 9118, 9245)]",741.0,fast_thinking,471962.0,SubTSP‑471848
990.83,471836,"[(3800, 4700, 6000, 7000)]",605.0,fast_thinking,471848.0,SubTSP‑471845
1044.36,471661,"[(4300, 5800, 6500, 7640), (2750, 4000, 4000, 4700)]",829.0,reasoning,471836.0,SubTSP‑471836
1070.03,471653,"[(3900, 4500, 5800, 6400), (7000, 9118, 4000, 6700)]",970.0,fast_thinking,471845.0,SubTSP‑471661
1088.43,471607,"[(4080, 4800, 4540, 5200), (6200, 6800, 4300, 4980)]",586.0,reasoning,471836.0,SubTSP‑471653
1137.48,471607,"[(4150, 5020, 5052, 6348), (5200, 7000, 6500, 8500)]",1805.0,fast_thinking,471661.0,SubTSP‑471607
1138.72,471550,"[(5701, 6200, 9500, 10682), (6000, 7800, 9300, 11821)]",358.0,reasoning,471653.0,SubTSP‑471607
1187.21,471536,"[(3200, 4200, 6200, 7160)]",896.0,fast_thinking,471607.0,SubTSP‑471550
1202.03,471484,"[(4300, 5600, 9000, 11821)]",990.0,reasoning,471607.0,SubTSP‑471536
1223.93,471428,"[(2600, 4000, 3800, 5200)]",561.0,reasoning,471550.0,SubTSP‑471484
1253.85,471414,"[(5400, 6500, 3700, 4800)]",583.0,fast_thinking,471550.0,SubTSP‑471428
1269.9,471412,"[(6010, 7529, 5915, 7996), (6300, 6500, 5200, 5720)]",148.0,reasoning,471536.0,SubTSP‑471414
1291.83,471409,"[(5400, 6500, 7000, 8250)]",545.0,fast_thinking,471428.0,SubTSP‑471412
1318.15,471409,"[(3200, 3900, 5400, 6100), (5601, 6250, 9000, 12103)]",1139.0,reasoning,471414.0,SubTSP‑471409
1321.54,471401,"[(5600, 7300, 5800, 7600)]",220.0,fast_thinking,471412.0,SubTSP‑471409
1354.45,471284,"[(5679, 6471, 3000, 4800)]",718.0,reasoning,471409.0,SubTSP‑471401
1456.77,471098,"[(3600, 4800, 6600, 8000)]",847.0,fast_thinking,471284.0,SubTSP‑471284
1509.32,471047,"[(3010, 3500, 5201, 5899), (4800, 5800, 3800, 4600)]",856.0,reasoning,471401.0,SubTSP‑471098
1565.07,471047,"[(3700, 4700, 6000, 7000), (4641, 4921, 3427, 3846)]",781.0,fast_thinking,471098.0,SubTSP‑471047
1591.46,470982,"[(4580, 5199, 3300, 3700), (6300, 7250, 5000, 5800)]",456.0,reasoning,471098.0,SubTSP‑471047
1609.64,470945,"[(6534, 8361, 2438, 3440)]",465.0,fast_thinking,471047.0,SubTSP‑470982
